timestamps,TP9,AF7,AF8,TP10,Right AUX
1533058199.795,4.883,22.949,8.789,23.926,35.156
1533058199.799,19.531,22.461,5.371,28.320,66.406
1533058199.803,20.508,19.531,11.230,25.391,33.691
1533058199.807,30.273,14.160,21.484,37.109,-31.250
1533058199.811,24.902,22.461,16.602,38.086,32.715
1533058199.815,17.578,25.391,15.137,28.809,85.938
1533058199.819,18.555,25.879,16.602,20.508,66.406
1533058199.823,30.273,30.273,14.160,11.230,62.500
1533058199.827,44.922,23.926,28.809,13.184,0.977
1533058199.830,28.809,21.484,31.738,20.996,26.367
1533058199.834,14.648,29.297,25.879,21.484,53.223
1533058199.838,22.461,26.855,25.391,21.973,-24.902
1533058199.842,38.086,25.391,32.715,23.438,13.184
1533058199.846,39.551,27.344,40.527,27.832,40.527
1533058199.850,17.090,24.902,38.086,18.555,43.945
1533058199.854,9.766,24.902,33.203,8.301,97.656
1533058199.858,9.277,24.414,28.320,8.789,11.230
1533058199.862,12.207,26.367,20.996,5.859,-30.762
1533058199.866,32.227,27.344,20.020,7.812,42.480
1533058199.870,21.973,21.484,30.273,8.301,42.969
1533058199.873,6.348,18.066,27.832,10.254,0.977
1533058199.877,9.277,18.066,19.043,9.277,41.504
1533058199.881,19.531,19.043,18.555,5.859,62.988
1533058199.885,31.738,19.531,24.902,7.324,81.543
1533058199.889,28.809,20.020,20.508,14.160,76.660
1533058199.893,25.391,20.508,15.625,26.855,20.020
1533058199.897,21.484,20.020,9.766,20.996,22.949
1533058199.901,27.344,20.996,11.230,19.531,8.301
1533058199.905,49.316,20.020,22.461,28.809,10.254
1533058199.909,47.363,18.066,21.973,24.902,5.859
1533058199.913,31.738,17.090,21.484,23.438,-0.488
1533058199.916,19.043,14.160,20.508,21.484,46.387
1533058199.920,39.062,12.207,12.207,26.855,41.992
1533058199.924,49.805,16.602,20.508,23.926,18.066
1533058199.928,35.645,15.137,25.391,20.020,46.387
1533058199.932,25.391,9.277,21.973,23.926,47.363
1533058199.936,12.695,10.254,21.973,23.926,27.832
1533058199.940,31.250,13.672,21.973,23.926,14.648
1533058199.944,34.668,12.695,22.461,24.414,8.789
1533058199.948,21.484,8.789,23.438,23.926,47.852
1533058199.952,16.602,5.859,20.020,21.973,20.020
1533058199.955,2.930,6.348,14.648,11.230,-19.531
1533058199.959,21.484,9.277,16.602,6.348,76.172
1533058199.963,39.062,15.625,27.344,16.602,81.055
1533058199.967,30.273,7.324,38.574,24.902,2.930
1533058199.971,30.273,2.930,33.203,19.043,0.000
1533058199.975,28.320,10.254,25.391,11.719,69.824
1533058199.979,29.297,8.301,24.902,9.277,42.480
1533058199.983,39.551,14.160,32.227,16.113,48.340
1533058199.987,41.504,18.066,35.156,16.602,106.445
1533058199.991,33.203,11.230,29.785,20.508,64.453
1533058199.995,21.484,12.695,23.926,18.555,62.012
1533058199.998,18.066,23.438,14.160,13.672,-7.324
1533058200.002,31.250,22.461,12.207,15.625,-19.043
1533058200.006,37.109,16.113,26.367,24.902,50.781
1533058200.010,25.391,15.625,28.320,28.320,90.820
1533058200.014,13.672,21.484,19.043,18.066,65.918
1533058200.018,20.020,23.438,5.371,16.113,-4.395
1533058200.022,23.438,19.531,3.906,15.137,-11.230
1533058200.026,26.367,22.949,11.230,14.160,5.859
1533058200.030,27.832,19.531,9.277,14.160,-21.973
1533058200.034,12.695,12.207,6.836,7.812,22.949
1533058200.038,-7.812,11.719,-0.977,-1.953,6.836
1533058200.041,3.906,16.602,0.000,0.000,-47.363
1533058200.045,25.879,29.297,10.254,5.371,14.160
1533058200.049,17.090,32.715,9.766,4.395,22.949
1533058200.053,12.207,29.297,13.672,5.859,-2.930
1533058200.057,7.812,29.297,12.207,5.859,45.898
1533058200.061,12.207,24.902,9.277,2.441,52.734
1533058200.065,23.926,20.020,20.020,2.441,50.293
1533058200.069,15.625,20.996,21.484,9.766,52.246
1533058200.073,20.508,22.461,17.578,12.695,-4.395
1533058200.077,14.160,21.973,11.719,4.883,14.160
