timestamps,TP9,AF7,AF8,TP10,Right AUX
1533059192.499,30.762,15.625,29.785,0.977,0.977
1533059192.503,26.367,13.672,28.320,0.000,39.551
1533059192.507,21.484,14.160,28.320,2.930,39.551
1533059192.511,11.719,15.625,26.367,0.977,74.219
1533059192.515,17.578,16.113,22.461,-1.465,91.309
1533059192.519,32.715,17.578,22.461,-0.977,95.215
1533059192.522,30.273,17.090,21.973,0.977,27.832
1533059192.526,15.625,15.625,19.531,-3.418,6.836
1533059192.530,2.930,16.113,19.531,-13.184,16.602
1533059192.534,12.207,17.090,20.020,-10.742,10.254
1533059192.538,27.344,16.113,20.996,-5.371,56.152
1533059192.542,20.020,15.137,23.926,-4.883,67.383
1533059192.546,12.695,19.043,24.902,-6.836,-30.273
1533059192.550,4.395,17.090,23.926,-11.230,-61.035
1533059192.554,13.672,16.113,23.438,-9.277,31.738
1533059192.558,31.250,21.484,21.484,-2.441,8.301
1533059192.562,26.367,23.438,17.578,-1.953,30.762
1533059192.565,19.531,24.902,17.578,-4.883,102.051
1533059192.569,6.348,21.484,17.090,-7.324,56.152
1533059192.573,12.695,21.484,13.672,-7.812,33.203
1533059192.577,29.785,25.391,16.602,-5.859,32.227
1533059192.581,28.809,23.926,19.531,-3.906,17.578
1533059192.585,25.391,21.973,21.973,-1.465,7.812
1533059192.589,16.113,21.484,23.438,5.371,-18.555
1533059192.593,14.160,21.973,25.879,8.789,8.789
1533059192.597,27.832,21.973,29.785,6.836,49.805
1533059192.601,30.273,20.020,30.762,9.766,20.996
1533059192.605,27.344,19.531,31.738,18.066,30.273
1533059192.608,23.438,20.508,30.273,18.555,89.844
1533059192.612,21.973,20.020,27.344,15.625,72.754
1533059192.616,36.133,21.484,28.320,17.578,37.598
1533059192.620,32.227,20.020,35.645,10.254,16.113
1533059192.624,21.484,19.531,36.621,11.719,-14.648
1533059192.628,14.160,19.043,37.598,13.672,43.945
1533059192.632,16.113,14.160,38.086,16.113,78.613
1533059192.636,38.086,19.043,33.203,24.902,56.152
1533059192.640,39.551,23.438,33.691,16.113,16.113
1533059192.644,24.414,20.020,33.691,7.324,-53.711
1533059192.647,16.602,16.602,33.691,7.812,23.438
1533059192.651,7.812,7.324,37.598,14.648,70.801
1533059192.655,26.367,0.000,41.016,25.879,27.832
1533059192.659,41.504,6.348,34.180,17.090,22.461
1533059192.663,24.902,11.719,26.367,4.883,42.969
1533059192.667,21.484,13.184,22.461,3.906,10.254
1533059192.671,15.625,20.996,16.602,-2.930,-12.695
1533059192.675,22.949,25.879,12.695,-2.930,32.227
1533059192.679,32.227,22.949,19.531,5.859,13.672
1533059192.683,22.461,16.113,26.855,8.789,-18.066
1533059192.687,22.461,12.207,28.320,7.812,19.043
1533059192.690,14.160,15.137,29.785,10.742,55.176
1533059192.694,10.254,20.996,26.855,4.883,51.270
1533059192.698,25.391,23.926,20.996,-1.953,-13.672
1533059192.702,32.227,29.785,16.602,3.906,-18.555
