timestamps,TP9,AF7,AF8,TP10,Right AUX
1533222972.289,41.992,38.574,137.695,33.691,6.348
1533222972.292,38.574,41.504,-190.430,31.738,-27.832
1533222972.296,30.273,39.062,-338.867,24.902,-33.203
1533222972.300,34.668,35.645,-124.023,26.367,21.973
1533222972.304,42.969,36.621,21.973,30.762,62.988
1533222972.308,41.992,36.621,98.145,26.855,67.871
1533222972.312,36.621,35.645,-64.941,24.902,-31.738
1533222972.316,29.785,34.668,-180.176,26.367,-9.277
1533222972.320,24.902,33.691,-197.754,21.484,50.781
1533222972.324,28.809,36.621,-38.574,16.602,50.781
1533222972.328,34.668,39.551,175.293,21.973,46.387
1533222972.332,29.297,38.086,-126.465,24.902,9.277
1533222972.335,26.367,38.574,-375.000,18.066,35.156
1533222972.339,20.508,40.039,-250.000,18.066,15.625
1533222972.343,22.461,36.621,-77.148,19.043,19.531
1533222972.347,35.645,36.621,145.996,24.414,72.754
1533222972.351,38.574,40.039,-49.316,29.785,20.996
1533222972.355,30.273,36.621,-373.047,26.855,6.836
1533222972.359,21.484,35.156,-418.945,22.949,45.410
1533222972.363,26.367,37.598,-237.305,22.461,21.484
1533222972.367,34.668,34.180,96.191,26.367,-0.977
1533222972.371,33.691,28.809,-30.762,31.738,34.668
1533222972.375,25.879,34.668,-424.805,31.738,91.797
1533222972.378,22.949,38.086,-405.762,26.855,8.789
1533222972.382,29.297,37.109,-198.730,27.832,-4.883
1533222972.386,39.551,36.621,4.395,30.762,22.949
1533222972.390,40.039,38.086,-95.215,35.156,12.695
1533222972.394,23.438,40.527,-354.492,27.344,41.016
1533222972.398,16.602,39.551,-466.309,15.137,45.410
1533222972.402,24.414,37.598,-446.289,17.578,44.434
1533222972.406,32.715,35.156,-140.625,19.043,21.973
1533222972.410,32.715,34.668,-41.504,14.648,15.137
1533222972.414,14.648,34.180,-459.961,7.324,19.531
1533222972.417,8.301,37.598,-565.918,2.441,23.438
1533222972.421,20.020,41.992,-350.098,9.766,-22.461
1533222972.425,27.344,40.527,-33.691,14.648,12.695
1533222972.429,32.227,40.039,-22.461,16.113,70.312
1533222972.433,33.203,42.480,-343.262,20.508,64.453
1533222972.437,14.648,35.156,-513.184,20.996,67.871
1533222972.441,7.324,27.832,-463.379,23.438,39.062
1533222972.445,31.738,27.344,-159.668,31.250,107.910
1533222972.449,36.621,28.809,-141.113,27.832,85.449
1533222972.453,17.090,30.273,-551.270,13.184,-16.113
1533222972.457,4.883,32.227,-613.281,6.836,-4.883
1533222972.460,14.648,34.180,-363.281,13.672,19.531
1533222972.464,35.156,36.133,-176.758,24.414,44.434
1533222972.468,39.551,37.109,-78.613,32.227,65.430
1533222972.472,33.203,33.203,-364.258,32.715,29.297
1533222972.476,23.926,32.227,-650.391,30.762,-15.137
1533222972.480,19.531,34.668,-551.758,28.320,15.137
1533222972.484,20.020,32.715,-308.594,26.367,20.020
1533222972.488,23.438,33.691,-189.453,26.855,-41.016
1533222972.492,22.461,33.691,-312.988,22.461,52.734
1533222972.496,14.160,35.156,-620.605,14.648,118.164
1533222972.500,15.625,37.109,-727.051,15.625,20.020
1533222972.503,24.414,32.715,-412.109,18.066,-2.441
1533222972.507,27.344,30.762,-92.773,15.625,37.109
1533222972.511,20.508,33.203,-329.102,14.160,61.035
1533222972.515,21.484,33.203,-656.250,10.254,7.324
1533222972.519,19.531,31.738,-633.789,10.742,-17.090
1533222972.523,20.508,29.785,-437.500,9.766,-3.906
1533222972.527,31.250,28.809,-172.363,8.301,1.465
1533222972.531,36.621,30.762,-417.969,11.719,-15.137
1533222972.535,26.855,28.320,-713.379,10.254,-2.441
1533222972.539,18.555,28.809,-548.828,7.324,63.477
1533222972.542,32.227,29.785,-481.934,7.812,27.832
1533222972.546,44.922,32.227,-233.398,9.277,-6.836
1533222972.550,42.969,36.133,-236.328,15.137,17.090
1533222972.554,29.785,38.086,-607.422,12.695,9.766
1533222972.558,30.273,40.527,-545.410,10.254,-1.953
1533222972.562,36.133,38.574,-319.824,11.719,-3.418
1533222972.566,45.898,40.527,-86.426,15.137,24.902
1533222972.570,47.363,41.504,-145.020,23.438,36.621
1533222972.574,31.250,34.180,-448.730,22.461,20.508
