timestamps,TP9,AF7,AF8,TP10,Right AUX
1533058340.782,45.410,41.016,65.430,41.504,23.926
1533058340.786,25.391,42.480,72.266,31.250,28.320
1533058340.790,20.996,41.016,77.637,33.691,55.176
1533058340.794,35.645,40.527,76.172,28.320,36.133
1533058340.798,39.551,37.109,74.707,39.062,-7.324
1533058340.802,38.086,37.598,67.871,44.922,0.000
1533058340.806,42.969,40.527,60.547,31.738,33.691
1533058340.810,40.039,38.086,57.129,36.621,55.664
1533058340.814,26.855,35.156,54.199,37.598,14.160
1533058340.817,28.809,32.715,56.152,32.715,39.551
1533058340.821,39.551,34.180,58.594,39.062,-3.418
1533058340.825,40.039,37.109,55.176,44.922,-14.648
1533058340.829,41.504,37.598,47.852,42.480,65.918
1533058340.833,36.621,34.180,41.992,31.738,53.223
1533058340.837,28.809,31.250,36.621,23.438,-17.090
1533058340.841,38.574,34.180,38.086,22.461,-4.395
1533058340.845,41.992,37.109,37.109,26.367,62.988
1533058340.849,22.461,31.738,30.273,28.320,29.785
1533058340.853,23.438,29.297,25.391,26.367,-15.625
1533058340.856,50.293,28.320,16.113,21.973,-15.625
1533058340.860,55.664,29.785,21.484,29.785,-17.578
1533058340.864,30.762,34.180,34.180,41.504,33.203
1533058340.868,30.762,30.273,25.391,23.926,74.707
1533058340.872,27.344,25.391,18.555,16.113,90.820
1533058340.876,9.766,21.973,15.625,31.738,20.508
1533058340.880,42.480,24.902,16.113,22.461,34.180
1533058340.884,49.316,31.250,20.020,19.043,94.238
1533058340.888,17.578,30.762,22.949,31.250,86.914
1533058340.892,4.395,28.320,13.184,25.879,56.152
1533058340.896,15.137,26.367,11.230,22.461,34.668
1533058340.899,38.574,26.367,17.090,30.273,87.891
1533058340.903,32.715,27.832,15.137,28.320,62.500
1533058340.907,12.695,27.832,12.207,18.555,23.926
1533058340.911,1.953,28.809,4.395,13.184,52.246
1533058340.915,0.977,27.344,4.395,1.465,22.949
1533058340.919,10.254,21.484,16.113,6.836,6.836
1533058340.923,19.531,16.113,24.414,16.602,25.879
1533058340.927,15.625,17.578,25.391,12.695,25.879
1533058340.931,-8.789,18.555,25.391,4.883,54.688
1533058340.935,-8.789,18.066,20.508,6.348,-19.531
