timestamps,TP9,AF7,AF8,TP10,Right AUX
1533059825.342,43.457,39.551,48.828,19.043,75.684
1533059825.346,57.617,40.039,48.340,23.438,44.434
1533059825.350,41.504,41.016,47.852,25.879,14.648
1533059825.354,26.855,39.551,49.316,24.414,49.316
1533059825.358,20.020,38.086,49.805,22.461,18.066
1533059825.362,49.316,39.062,43.457,29.297,-44.434
1533059825.366,59.082,43.457,37.109,29.785,-57.129
1533059825.370,39.551,44.922,36.133,29.297,-65.918
1533059825.374,19.043,32.715,35.156,29.297,-16.602
1533059825.378,4.395,25.391,35.645,27.344,11.230
1533059825.381,36.133,31.738,38.086,33.691,82.031
1533059825.385,57.129,35.645,38.086,38.086,67.871
1533059825.389,41.016,40.527,42.480,32.227,-19.043
1533059825.393,20.020,39.551,41.016,24.414,-18.066
1533059825.397,8.789,40.039,37.598,21.973,0.000
1533059825.401,40.527,46.387,39.062,30.762,5.371
1533059825.405,58.105,44.434,35.645,32.227,-20.996
1533059825.409,37.598,37.109,32.227,25.391,35.156
1533059825.413,19.531,39.062,34.180,22.949,14.648
1533059825.417,2.930,45.898,39.062,19.043,5.371
1533059825.421,23.926,41.992,39.551,15.625,65.430
1533059825.424,53.711,31.250,32.227,20.020,60.059
1533059825.428,40.039,33.691,30.762,17.090,32.227
1533059825.432,19.043,39.062,39.551,11.230,39.551
1533059825.436,-0.977,33.691,35.645,4.395,59.082
1533059825.440,11.230,30.273,32.227,3.418,21.484
1533059825.444,46.875,31.738,39.062,17.090,-3.418
1533059825.448,43.457,31.738,39.551,19.531,23.438
1533059825.452,23.438,33.203,40.527,15.625,14.648
1533059825.456,8.301,38.574,34.668,13.184,47.852
1533059825.460,23.438,42.969,32.715,16.602,68.848
1533059825.463,59.570,41.016,36.621,20.508,9.277
1533059825.467,52.246,35.645,33.203,17.090,-12.207
1533059825.471,34.180,35.156,34.668,20.020,39.551
1533059825.475,19.531,35.645,35.156,21.484,100.586
1533059825.479,22.461,36.621,34.180,23.926,44.434
1533059825.483,59.082,36.133,30.273,34.668,25.391
1533059825.487,58.105,32.715,27.832,36.133,33.203
1533059825.491,37.109,35.156,27.832,27.344,44.922
1533059825.495,20.020,36.621,23.438,24.414,31.250
1533059825.499,17.090,34.668,23.438,20.020,-30.273
1533059825.503,48.340,31.738,19.531,17.578,3.418
1533059825.506,53.711,34.668,19.531,20.508,55.176
1533059825.510,38.574,38.574,27.344,14.648,71.289
1533059825.514,22.461,40.039,23.438,7.812,19.043
1533059825.518,17.578,43.945,22.949,3.418,8.789
1533059825.522,49.316,39.062,29.785,2.930,18.555
1533059825.526,62.012,35.645,29.297,9.277,1.953
1533059825.530,44.922,40.527,27.832,11.230,32.227
1533059825.534,25.391,38.086,32.715,9.766,-2.930
1533059825.538,18.066,36.621,40.527,12.695,-11.230
1533059825.542,51.270,38.574,44.922,21.484,23.926
1533059825.546,71.289,38.574,44.434,30.273,23.438
1533059825.549,58.105,36.621,40.039,32.715,-18.555
1533059825.553,35.645,28.809,36.133,24.902,-56.641
1533059825.557,19.531,28.809,39.551,19.043,-41.016
1533059825.561,45.898,33.691,43.945,22.461,19.043
1533059825.565,71.289,33.691,39.062,28.809,27.832
1533059825.569,53.223,34.180,45.898,25.391,-2.441
1533059825.573,31.738,35.156,50.293,21.973,-15.625
1533059825.577,17.090,35.645,46.387,23.438,19.043
1533059825.581,36.621,33.691,47.852,25.391,40.039
1533059825.585,65.918,33.691,41.504,28.809,41.504
1533059825.588,57.129,33.203,39.062,25.879,56.641
1533059825.592,39.551,32.715,39.062,23.926,-25.879
1533059825.596,24.902,33.691,36.133,23.926,-4.883
1533059825.600,48.340,33.203,39.062,25.879,61.035
1533059825.604,81.055,33.691,40.039,28.809,66.406
1533059825.608,67.871,32.227,43.457,25.879,32.227
1533059825.612,45.410,34.180,49.316,22.461,51.758
1533059825.616,20.996,33.203,42.969,14.648,50.781
1533059825.620,25.391,27.344,39.062,8.789,-20.508
1533059825.624,54.688,32.227,44.922,12.207,45.410
1533059825.628,50.781,34.180,51.270,13.672,100.098
1533059825.631,30.273,33.203,48.828,7.324,69.824
1533059825.635,11.719,34.668,40.527,1.953,46.875
1533059825.639,22.461,28.809,39.062,6.836,27.832
1533059825.643,55.664,24.902,37.109,12.695,5.859
1533059825.647,52.734,30.762,35.645,11.719,-3.906
1533059825.651,37.109,39.062,37.598,16.602,19.531
1533059825.655,20.020,42.969,37.109,14.160,46.875
1533059825.659,23.438,38.574,39.551,9.277,-23.438
1533059825.663,57.129,31.250,37.109,15.625,-47.363
1533059825.667,56.641,26.855,33.203,18.555,-40.527
1533059825.671,40.527,28.320,34.668,16.113,-22.949
1533059825.674,19.043,31.738,33.691,14.648,21.973
1533059825.678,15.137,32.715,35.645,16.113,15.625
1533059825.682,55.176,34.668,38.574,20.508,20.508
1533059825.686,64.453,39.062,40.039,25.391,45.410
1533059825.690,42.480,40.527,41.504,28.809,-22.461
1533059825.694,19.531,37.109,40.527,22.949,-8.301
1533059825.698,12.207,39.062,40.039,15.137,33.691
1533059825.702,44.922,41.504,45.898,18.555,36.133
1533059825.706,53.711,41.016,51.270,19.043,54.199
1533059825.710,33.203,43.945,48.828,13.184,26.367
1533059825.713,17.578,40.039,43.945,10.254,15.137
1533059825.717,3.906,36.133,44.922,7.812,29.785
1533059825.721,32.715,41.016,41.504,10.254,-5.371
1533059825.725,55.176,40.527,40.527,14.648,-41.504
1533059825.729,38.574,41.504,45.410,14.160,-46.875
1533059825.733,17.090,41.992,45.410,8.789,-60.059
1533059825.737,2.441,39.062,41.504,4.883,-51.758
1533059825.741,28.809,38.574,43.457,6.836,6.348
1533059825.745,47.852,41.504,43.457,7.812,37.598
1533059825.749,36.133,42.480,41.992,6.836,27.832
1533059825.753,22.949,39.551,43.457,6.348,2.930
1533059825.756,5.859,37.109,40.527,6.348,88.867
1533059825.760,32.715,35.156,40.039,13.184,82.520
1533059825.764,59.082,35.156,43.457,19.531,11.719
1533059825.768,45.898,35.156,45.410,16.602,41.504
