timestamps,TP9,AF7,AF8,TP10,Right AUX
1533057361.738,40.527,39.062,10.742,31.738,49.316
1533057361.742,39.062,33.691,1.465,36.133,33.691
1533057361.746,29.297,35.645,-2.930,31.250,9.766
1533057361.750,22.461,40.039,-7.812,22.949,58.105
1533057361.754,23.926,36.133,0.488,18.555,58.594
1533057361.758,43.945,29.785,8.789,27.344,8.301
1533057361.762,39.551,26.855,11.230,26.855,33.203
1533057361.766,24.902,27.344,12.695,21.484,56.641
1533057361.769,19.043,21.973,-7.324,18.066,-6.348
1533057361.773,16.602,18.066,4.883,16.113,22.461
1533057361.777,38.086,17.090,10.254,27.832,82.031
1533057361.781,43.457,11.719,1.465,34.668,77.148
1533057361.785,24.902,10.742,1.953,28.809,45.898
1533057361.789,13.184,9.277,-9.766,18.066,59.082
1533057361.793,15.625,8.789,-15.137,12.207,53.223
1533057361.797,33.203,12.695,-0.488,17.578,50.293
1533057361.801,40.527,13.184,7.324,27.344,68.848
1533057361.805,35.645,13.672,-8.301,34.668,53.223
1533057361.808,22.461,12.207,-16.113,25.879,49.316
1533057361.812,7.324,3.906,-6.836,8.789,-28.320
1533057361.816,20.020,-1.465,10.254,21.973,-47.363
1533057361.820,34.668,-1.465,-7.812,38.574,15.625
1533057361.824,26.855,-4.395,-2.930,35.156,84.961
1533057361.828,21.973,1.953,10.254,33.691,84.473
1533057361.832,20.996,7.812,-0.488,25.879,28.809
1533057361.836,32.227,6.348,13.184,24.414,40.039
1533057361.840,48.828,8.301,27.344,33.691,13.184
1533057361.844,36.621,10.742,30.273,35.156,27.832
1533057361.848,20.020,13.672,10.254,29.297,34.668
1533057361.851,14.648,18.555,-4.883,19.531,4.395
1533057361.855,23.438,18.066,17.090,18.066,3.418
1533057361.859,39.062,16.113,14.160,26.855,-2.930
1533057361.863,27.344,19.531,15.137,28.320,-42.969
1533057361.867,12.207,23.438,32.715,22.949,5.859
1533057361.871,6.836,23.438,3.906,13.672,56.641
1533057361.875,20.508,22.949,1.953,14.160,4.395
1533057361.879,41.504,25.879,14.648,20.508,10.742
1533057361.883,33.691,25.879,11.719,23.438,46.875
1533057361.887,18.555,29.297,0.488,22.949,57.129
1533057361.891,6.836,33.203,-11.719,16.113,15.137
1533057361.894,13.672,30.762,7.324,14.648,-25.391
1533057361.898,32.715,32.227,25.391,28.809,34.668
1533057361.902,29.785,34.180,24.414,37.598,28.320
1533057361.906,17.090,34.180,25.391,33.691,52.246
1533057361.910,7.324,34.668,9.277,25.391,82.031
1533057361.914,14.160,34.668,9.277,21.484,25.391
1533057361.918,38.086,33.691,17.090,30.762,-60.059
1533057361.922,34.180,31.738,24.414,38.574,-50.781
1533057361.926,19.043,35.645,16.602,36.133,18.555
1533057361.930,8.789,37.598,-3.418,27.344,0.977
1533057361.933,8.789,34.180,0.977,22.461,49.316
1533057361.937,28.809,33.203,0.000,28.320,25.879
1533057361.941,34.668,35.156,4.883,34.668,8.789
1533057361.945,19.043,31.738,11.230,31.250,14.648
1533057361.949,5.371,29.785,-2.441,16.602,14.648
1533057361.953,4.883,30.762,-1.465,4.883,20.996
1533057361.957,18.555,27.832,13.184,9.766,20.508
1533057361.961,23.926,26.367,20.996,20.508,-13.672
1533057361.965,15.137,26.367,24.414,22.949,-25.391
1533057361.969,4.395,24.414,9.277,18.555,51.758
1533057361.973,0.977,22.461,2.441,11.230,71.777
1533057361.976,23.438,21.973,11.230,19.043,-26.855
1533057361.980,35.156,24.902,16.602,27.832,-11.230
1533057361.984,20.508,28.320,22.461,23.926,63.965
1533057361.988,12.695,31.250,5.371,20.508,-7.324
1533057361.992,10.254,34.180,-6.348,12.695,-43.945
1533057361.996,26.367,33.203,19.043,16.602,2.441
1533057362.000,40.039,32.715,16.602,28.320,59.082
1533057362.004,27.832,34.180,15.137,28.809,80.566
1533057362.008,20.508,40.039,10.742,25.879,39.551
1533057362.012,20.996,43.457,-13.184,12.695,41.504
1533057362.015,34.180,45.410,-7.812,12.695,75.195
1533057362.019,51.270,47.363,4.883,26.855,67.871
1533057362.023,41.504,40.527,3.906,30.762,38.086
1533057362.027,24.902,36.133,-0.488,23.926,-26.367
1533057362.031,20.508,37.598,1.465,14.160,-6.348
1533057362.035,30.273,39.551,18.555,17.578,51.758
1533057362.039,38.574,37.109,20.508,24.902,17.090
1533057362.043,31.250,34.180,30.762,25.391,47.363
1533057362.047,23.926,31.738,34.180,25.391,83.008
1533057362.051,18.555,27.832,9.277,17.090,-13.184
1533057362.055,24.902,25.391,26.855,11.719,-53.223
1533057362.058,42.969,25.879,38.574,23.926,-10.742
1533057362.062,40.039,27.344,40.527,31.738,0.000
1533057362.066,26.367,23.438,31.250,26.855,18.066
1533057362.070,14.160,20.508,9.277,15.137,-32.715
1533057362.074,19.531,18.555,18.555,7.812,6.348
1533057362.078,41.016,13.184,29.785,15.625,113.281
1533057362.082,41.992,12.695,24.414,21.973,55.176
1533057362.086,26.367,11.719,7.812,18.066,-23.926
1533057362.090,12.695,10.742,7.324,13.672,34.180
1533057362.094,20.020,16.113,25.391,14.160,66.895
1533057362.098,42.480,17.090,27.344,26.367,53.223
1533057362.101,45.898,16.113,17.578,34.668,20.996
1533057362.105,31.250,17.578,33.691,25.879,8.789
1533057362.109,16.113,18.555,25.879,16.113,74.707
1533057362.113,18.555,14.160,24.414,8.789,65.918
1533057362.117,38.086,11.230,50.293,17.578,25.879
1533057362.121,41.992,14.160,55.664,34.180,-26.367
1533057362.125,30.762,15.625,41.504,35.156,-13.672
1533057362.129,16.113,14.160,14.160,22.461,2.441
1533057362.133,16.602,10.254,6.836,14.648,-10.254
1533057362.137,37.598,14.160,28.320,24.414,36.133
1533057362.140,44.922,17.090,35.645,35.156,73.730
1533057362.144,34.668,17.578,25.879,33.203,20.508
