timestamps,TP9,AF7,AF8,TP10,Right AUX
1533044142.077,20.508,12.207,25.391,11.230,15.137
1533044142.081,-1.465,15.625,35.156,-0.488,-2.930
1533044142.085,-0.977,15.625,36.133,4.883,-24.414
1533044142.089,25.879,15.625,34.180,4.883,6.836
1533044142.093,31.738,16.113,27.344,9.766,32.715
1533044142.096,17.090,14.648,19.531,12.207,34.668
1533044142.100,4.395,12.695,20.020,0.000,17.578
1533044142.104,-5.859,12.207,23.438,-4.395,39.551
1533044142.108,18.066,15.137,25.879,5.859,38.574
1533044142.112,37.598,15.625,22.461,17.578,20.996
1533044142.116,27.832,14.160,17.578,11.719,34.180
1533044142.120,5.859,18.066,23.438,9.277,51.758
1533044142.124,-9.277,16.602,21.973,4.883,41.504
1533044142.128,13.184,14.160,19.531,1.953,11.230
1533044142.132,38.086,12.695,21.973,22.949,22.461
1533044142.135,32.227,9.277,20.020,23.438,37.598
1533044142.139,19.531,9.766,20.996,6.348,14.160
1533044142.143,1.465,2.930,28.809,13.184,-19.043
1533044142.147,18.555,2.930,35.645,32.715,-12.207
1533044142.151,48.828,18.555,31.250,27.832,58.105
1533044142.155,35.645,21.973,18.066,12.695,24.414
1533044142.159,7.324,19.043,17.090,-1.953,-11.230
1533044142.163,0.488,19.531,17.090,-5.371,16.602
1533044142.167,19.531,25.879,12.695,5.371,26.367
1533044142.171,39.062,35.645,5.859,11.719,54.199
1533044142.175,36.621,33.691,1.465,11.719,29.297
1533044142.178,9.766,30.273,0.488,-6.348,7.812
1533044142.182,-16.602,27.344,-8.789,-19.043,22.949
1533044142.186,-3.906,24.902,-13.672,-14.648,34.180
1533044142.190,24.414,23.438,-11.719,-4.395,9.277
1533044142.194,18.066,22.461,-13.184,8.789,-17.578
1533044142.198,0.488,25.879,-9.766,7.324,-18.555
1533044142.202,-17.578,26.367,-5.859,-7.324,8.301
1533044142.206,-15.625,23.926,-8.301,-9.277,44.922
1533044142.210,19.043,22.461,-11.230,-2.441,66.895
1533044142.214,29.785,22.461,-17.090,11.230,33.203
1533044142.218,14.648,24.902,-18.066,22.461,62.500
1533044142.221,-1.465,26.367,-19.531,8.301,74.707
1533044142.225,-3.906,26.855,-20.508,-3.906,21.484
1533044142.229,21.973,26.855,-20.996,5.859,13.184
1533044142.233,25.391,24.414,-18.555,16.602,2.441
1533044142.237,9.277,21.973,-15.625,18.066,-17.090
1533044142.241,-2.930,14.160,-15.137,8.301,-5.859
1533044142.245,-14.648,11.230,-9.766,-4.883,18.066
1533044142.249,5.371,15.137,-3.906,4.395,47.363
1533044142.253,18.555,12.207,-7.812,19.531,73.242
1533044142.257,4.883,8.789,-10.254,12.695,23.438
1533044142.260,-7.324,9.277,-2.930,3.418,0.000
1533044142.264,-11.230,12.207,-5.371,4.395,0.977
1533044142.268,9.766,15.625,-6.348,5.371,65.918
1533044142.272,30.273,15.137,-9.766,9.277,59.570
1533044142.276,23.438,19.043,-15.625,9.277,9.766
1533044142.280,3.418,23.926,-19.531,-2.930,4.395
1533044142.284,-16.113,21.484,-21.973,-11.719,12.695
1533044142.288,4.395,19.531,-13.184,-5.371,63.477
1533044142.292,31.250,17.578,-9.277,3.906,36.133
1533044142.296,15.625,17.578,-6.348,7.812,-3.906
1533044142.300,-0.977,19.531,-2.930,3.418,56.641
1533044142.303,-7.324,18.066,-5.859,-3.906,68.848
1533044142.307,4.883,17.090,-3.418,-2.441,28.320
1533044142.311,30.762,17.578,-1.953,4.883,25.879
1533044142.315,27.832,14.648,-2.441,11.230,11.719
1533044142.319,12.207,11.719,-3.906,5.371,1.953
1533044142.323,-1.465,11.719,-6.836,-6.348,-4.883
1533044142.327,0.977,9.277,1.465,-2.930,30.762
1533044142.331,30.762,12.695,8.301,13.672,20.020
1533044142.335,28.809,17.090,9.277,23.438,-31.738
1533044142.339,10.742,14.648,9.766,20.508,39.551
1533044142.343,-5.859,11.719,4.883,9.277,-22.461
1533044142.346,-1.953,9.766,8.301,0.488,-92.773
