timestamps,TP9,AF7,AF8,TP10,Right AUX
1533223080.516,55.664,1.465,-362.793,31.250,26.855
1533223080.520,52.246,5.859,-116.211,30.762,49.316
1533223080.524,47.852,10.254,-412.598,29.297,52.246
1533223080.528,37.109,8.301,-788.086,31.738,-9.766
1533223080.531,43.945,3.906,-815.430,25.879,-60.059
1533223080.535,51.758,4.883,-562.500,20.996,-78.125
1533223080.539,55.176,4.395,-336.426,20.996,-54.199
1533223080.543,43.457,2.930,-431.641,22.461,25.391
1533223080.547,28.809,4.395,-614.258,27.344,54.199
1533223080.551,33.203,8.789,-594.727,18.066,27.832
1533223080.555,39.062,14.648,-536.621,4.395,25.879
1533223080.559,52.734,14.160,-281.250,14.648,17.578
1533223080.563,40.527,14.648,-218.750,16.602,-2.441
1533223080.567,24.902,17.578,-559.570,7.812,8.301
1533223080.571,34.668,10.742,-586.426,9.766,47.852
1533223080.574,46.387,9.277,-316.406,16.113,67.871
1533223080.578,49.316,11.719,-23.926,19.531,78.125
1533223080.582,38.574,1.465,-244.141,16.113,91.309
1533223080.586,20.508,-4.883,-693.848,12.695,42.480
1533223080.590,29.297,0.977,-702.637,13.672,26.855
1533223080.594,50.293,3.906,-423.340,10.254,15.625
1533223080.598,56.152,2.930,-16.602,8.301,27.344
1533223080.602,45.410,0.977,-44.434,14.648,25.879
1533223080.606,36.133,2.930,-465.332,17.578,0.977
1533223080.610,35.645,6.836,-519.531,9.277,23.926
1533223080.614,36.133,2.930,-468.750,6.348,-7.324
1533223080.617,46.387,2.930,-233.398,6.836,-12.695
1533223080.621,38.574,4.883,25.879,5.371,17.090
1533223080.625,17.578,1.953,-283.203,3.906,40.039
1533223080.629,17.090,3.906,-539.551,6.348,25.879
1533223080.633,35.156,7.812,-464.355,8.301,19.043
1533223080.637,40.527,9.277,-156.738,11.230,9.277
1533223080.641,34.180,9.766,104.492,12.695,-22.949
1533223080.645,24.902,11.719,-160.645,1.953,17.090
1533223080.649,26.855,11.719,-406.738,0.000,48.828
1533223080.653,44.434,13.184,-200.195,7.324,61.523
1533223080.657,46.875,15.625,171.387,12.207,78.613
1533223080.660,46.387,13.672,281.250,15.625,92.773
1533223080.664,37.598,13.184,-132.812,8.301,40.039
1533223080.668,26.367,18.066,-392.578,1.465,0.488
1533223080.672,42.969,16.602,-250.488,5.859,40.527
