timestamps,TP9,AF7,AF8,TP10,Right AUX
1533058130.472,-1.465,6.836,12.695,-77.148,33.691
1533058130.476,8.301,6.348,-2.930,-81.055,-18.555
1533058130.480,20.996,7.812,0.488,-75.195,24.902
1533058130.484,20.508,6.836,16.113,-64.453,65.430
1533058130.488,11.719,9.766,10.742,-62.988,76.172
1533058130.492,6.348,9.277,3.906,-70.801,75.195
1533058130.496,13.184,8.789,0.977,-76.172,44.922
1533058130.499,28.809,13.672,2.930,-75.684,61.523
1533058130.503,33.203,17.090,15.137,-71.777,66.406
1533058130.507,22.949,20.508,18.066,-69.824,1.953
1533058130.511,16.113,16.113,6.348,-76.660,-0.488
1533058130.515,17.090,11.230,0.488,-83.496,0.488
1533058130.519,29.297,11.230,4.883,-72.754,2.441
1533058130.523,38.086,16.113,16.602,-63.477,39.551
1533058130.527,28.320,19.531,6.836,-65.430,69.336
1533058130.531,20.020,22.461,-4.395,-63.965,72.754
1533058130.535,18.555,19.531,2.930,-68.359,12.695
1533058130.538,37.109,19.043,4.883,-58.105,19.043
1533058130.542,46.875,25.879,5.859,-52.246,52.246
1533058130.546,27.344,27.832,7.324,-58.105,74.219
1533058130.550,13.672,23.926,9.766,-50.781,22.949
1533058130.554,9.277,18.555,0.977,-56.152,-3.418
1533058130.558,21.973,22.949,-3.906,-53.711,12.695
1533058130.562,35.645,30.762,8.789,-43.457,7.324
1533058130.566,24.414,32.715,13.672,-43.457,-12.207
1533058130.570,11.230,28.320,5.859,-43.457,7.812
1533058130.574,0.488,22.949,-2.930,-44.922,27.832
1533058130.578,7.812,17.090,-12.207,-35.645,-1.953
1533058130.581,30.762,16.602,-8.789,-31.738,6.348
1533058130.585,25.879,17.090,-3.906,-29.297,17.090
1533058130.589,9.766,13.184,-7.324,-28.320,23.926
1533058130.593,3.906,10.742,-8.789,-40.039,-16.602
1533058130.597,12.695,7.324,-16.113,-45.898,-16.602
1533058130.601,27.344,3.418,-15.137,-40.527,39.062
1533058130.605,22.949,3.906,6.348,-33.203,60.547
1533058130.609,13.184,5.371,8.789,-36.133,51.270
1533058130.613,8.301,8.301,-5.859,-41.016,16.113
1533058130.617,18.555,11.230,-8.789,-38.574,39.551
1533058130.621,33.203,5.859,1.953,-29.785,41.992
1533058130.624,29.785,5.371,13.184,-19.531,84.473
1533058130.628,16.602,4.883,5.371,-18.066,117.188
1533058130.632,6.836,-0.488,-8.789,-30.762,46.875
1533058130.636,14.648,-0.488,-7.812,-35.645,65.430
1533058130.640,30.762,-1.953,-1.465,-31.250,25.391
1533058130.644,33.203,4.395,13.184,-28.809,-1.465
1533058130.648,27.344,7.812,15.625,-32.227,-2.441
1533058130.652,17.578,2.441,3.906,-39.062,44.922
1533058130.656,17.578,4.395,-6.836,-43.457,44.922
1533058130.660,28.320,7.812,-1.465,-39.062,-62.988
1533058130.663,30.273,14.648,11.719,-40.039,-18.066
1533058130.667,21.973,16.602,2.441,-47.363,11.719
1533058130.671,12.207,13.184,-1.465,-49.316,14.648
1533058130.675,17.090,14.160,-0.488,-48.828,-16.602
1533058130.679,32.715,15.137,2.930,-46.387,8.301
1533058130.683,40.039,15.137,13.672,-37.109,54.688
1533058130.687,34.180,15.137,13.184,-32.227,47.852
1533058130.691,23.926,15.137,6.836,-42.969,8.301
1533058130.695,16.602,12.695,4.883,-53.223,-13.184
1533058130.699,28.809,14.160,5.859,-53.223,2.930
1533058130.703,36.621,19.531,10.254,-50.781,-12.695
1533058130.706,24.414,21.973,10.742,-49.316,14.160
1533058130.710,15.625,19.531,-0.488,-50.781,-1.953
1533058130.714,10.254,18.066,-1.953,-55.176,1.953
1533058130.718,23.438,19.531,-1.465,-51.758,3.906
1533058130.722,41.504,20.996,3.418,-45.410,41.504
1533058130.726,29.297,21.484,2.441,-50.293,86.914
1533058130.730,13.184,23.438,-3.418,-58.594,50.293
1533058130.734,7.812,24.902,0.000,-56.152,20.996
1533058130.738,16.113,20.996,-4.883,-58.594,19.043
1533058130.742,26.367,19.531,0.488,-65.430,-26.367
1533058130.746,15.625,20.020,15.625,-58.594,13.184
1533058130.749,4.883,15.137,11.230,-57.617,28.320
1533058130.753,3.418,12.207,-1.465,-71.289,-21.484
1533058130.757,16.113,11.230,-4.883,-75.195,-18.066
1533058130.761,29.297,8.789,2.930,-63.477,-33.203
1533058130.765,18.066,9.277,8.301,-61.035,53.223
1533058130.769,9.766,8.789,-3.418,-61.523,95.215
1533058130.773,11.230,9.766,-10.254,-62.500,43.457
1533058130.777,13.672,8.789,-6.836,-63.965,28.320
1533058130.781,27.832,5.859,-1.465,-58.594,44.922
1533058130.785,26.855,7.812,12.695,-54.688,29.297
1533058130.788,10.254,6.836,11.230,-61.523,3.906
1533058130.792,2.930,6.836,-3.418,-71.777,29.297
1533058130.796,7.324,4.883,-8.789,-70.801,29.297
1533058130.800,20.996,2.441,1.465,-64.453,27.832
1533058130.804,21.973,8.789,9.277,-66.406,66.895
1533058130.808,8.789,10.742,3.906,-69.824,69.336
1533058130.812,0.977,8.301,-4.883,-72.754,42.969
1533058130.816,10.254,11.719,-6.836,-73.242,-2.930
1533058130.820,26.855,12.695,1.465,-71.289,-21.484
1533058130.824,29.297,13.672,7.324,-62.988,10.742
1533058130.828,18.555,19.043,1.465,-62.500,64.941
1533058130.831,8.789,21.973,-6.348,-73.242,79.590
1533058130.835,10.742,22.461,-5.371,-72.754,11.230
1533058130.839,33.691,22.461,-3.906,-66.406,-2.441
1533058130.843,39.062,24.414,5.371,-63.965,65.918
1533058130.847,25.391,21.973,6.348,-61.523,80.078
1533058130.851,12.695,13.672,-0.977,-67.871,32.715
1533058130.855,8.301,12.207,-1.465,-72.754,20.996
1533058130.859,25.879,16.113,6.836,-65.918,35.156
1533058130.863,31.250,20.508,15.137,-62.012,23.926
1533058130.867,22.461,19.531,6.836,-63.965,-6.348
1533058130.871,14.648,17.578,2.441,-61.523,-37.598
1533058130.874,10.742,20.508,5.371,-64.941,-1.465
1533058130.878,26.367,20.508,5.371,-63.965,30.762
1533058130.882,34.180,16.113,8.789,-56.641,9.277
1533058130.886,24.414,15.137,13.672,-56.641,38.086
1533058130.890,15.625,13.672,8.301,-62.500,31.738
1533058130.894,8.789,12.207,4.395,-69.336,-10.254
1533058130.898,23.438,14.648,2.930,-69.336,41.992
1533058130.902,34.180,17.578,5.859,-63.477,95.215
1533058130.906,20.020,20.996,10.254,-62.500,55.664
1533058130.910,9.277,21.484,-0.977,-65.918,30.273
1533058130.913,1.465,16.602,-4.883,-66.895,26.367
1533058130.917,8.789,14.160,1.953,-66.895,2.441
1533058130.921,23.926,19.043,17.090,-63.965,24.414
1533058130.925,24.902,19.531,22.461,-55.176,56.152
1533058130.929,13.672,11.230,20.020,-53.711,52.246
1533058130.933,-6.836,4.395,20.508,-68.848,1.465
1533058130.937,-2.441,1.465,19.531,-75.195,-14.648
1533058130.941,19.531,2.441,29.785,-67.871,37.598
1533058130.945,13.672,2.930,34.668,-62.500,21.973
1533058130.949,-0.977,1.465,26.855,-62.988,-33.203
1533058130.953,-4.395,2.930,24.414,-72.266,2.930
1533058130.956,7.812,4.395,17.090,-67.383,40.039
1533058130.960,24.902,2.441,7.324,-62.500,0.977
1533058130.964,31.738,4.883,16.113,-62.012,-24.902
1533058130.968,31.738,11.719,22.461,-55.664,-48.828
1533058130.972,24.902,11.719,16.602,-62.988,23.926
1533058130.976,31.738,14.648,2.930,-66.895,47.363
1533058130.980,45.410,14.648,1.953,-57.617,3.906
1533058130.984,48.340,11.719,9.766,-56.641,25.879
1533058130.988,37.598,15.137,2.930,-55.664,26.855
1533058130.992,22.949,16.602,1.465,-56.641,62.012
1533058130.995,26.855,13.672,-1.465,-62.012,57.617
1533058130.999,46.875,13.672,4.883,-58.594,-10.254
1533058131.003,51.270,16.113,11.719,-50.293,0.488
1533058131.007,32.715,13.672,2.930,-49.805,39.551
1533058131.011,18.555,11.230,1.953,-58.594,54.199
1533058131.015,19.531,11.230,3.418,-68.359,49.316
1533058131.019,33.691,13.184,0.000,-68.359,50.293
1533058131.023,38.574,17.090,8.301,-64.941,60.547
1533058131.027,29.297,15.625,8.301,-64.941,21.484
1533058131.031,16.602,15.137,-6.348,-73.730,-33.691
1533058131.035,16.113,18.555,-9.766,-77.637,-50.781
1533058131.038,27.832,19.043,-0.488,-71.289,10.254
1533058131.042,33.203,16.602,7.324,-66.406,72.754
1533058131.046,28.320,16.113,6.348,-69.824,82.520
1533058131.050,19.531,12.207,0.000,-73.730,75.195
1533058131.054,11.719,10.254,-6.348,-74.219,77.148
1533058131.058,19.043,11.719,-12.695,-76.660,66.406
1533058131.062,27.344,8.789,-8.789,-72.754,33.203
1533058131.066,20.020,7.324,-1.465,-65.918,44.434
1533058131.070,12.695,8.301,-3.906,-72.754,32.715
1533058131.074,11.230,12.207,-7.324,-76.172,38.086
1533058131.078,20.020,9.277,-16.113,-76.660,50.293
1533058131.081,30.273,11.230,-15.137,-70.312,-37.598
1533058131.085,24.902,15.137,-2.930,-60.547,0.000
1533058131.089,18.066,8.789,-6.836,-64.941,57.617
1533058131.093,14.648,8.789,-12.695,-70.801,15.625
1533058131.097,19.043,2.930,-10.254,-68.359,-35.645
1533058131.101,35.645,-1.465,-2.441,-58.594,-21.973
1533058131.105,29.297,-0.488,1.953,-51.758,39.551
1533058131.109,8.789,-4.883,-6.348,-56.641,10.254
1533058131.113,12.207,-1.953,-10.742,-62.012,62.012
1533058131.117,28.809,-3.418,-8.789,-57.129,87.402
1533058131.120,28.320,-9.277,0.488,-59.570,22.461
1533058131.124,20.996,-10.254,11.719,-58.594,17.090
1533058131.128,16.113,-8.301,14.160,-59.082,26.855
1533058131.132,8.789,-0.977,14.648,-62.988,-2.441
1533058131.136,11.230,1.465,7.812,-62.012,-42.969
1533058131.140,26.855,3.418,14.160,-61.035,-5.859
1533058131.144,32.715,3.418,20.508,-58.105,11.230
1533058131.148,21.973,4.395,10.254,-57.129,18.555
1533058131.152,11.719,6.836,10.254,-54.688,40.527
1533058131.156,19.531,9.766,11.230,-59.082,21.484
1533058131.160,33.691,14.160,15.137,-56.152,54.688
1533058131.163,35.156,12.695,21.484,-48.828,55.176
1533058131.167,25.879,9.277,20.996,-53.711,16.602
1533058131.171,14.160,11.719,14.160,-61.035,17.578
1533058131.175,11.719,11.719,6.836,-60.059,7.812
1533058131.179,28.320,7.812,6.348,-54.688,4.395
1533058131.183,35.645,10.742,18.555,-51.270,30.273
1533058131.187,23.926,15.137,15.137,-50.293,-0.488
1533058131.191,16.602,13.184,-0.488,-60.059,-49.316
1533058131.195,14.648,8.301,-1.953,-63.477,-12.695
1533058131.199,28.320,9.277,-5.371,-55.176,32.227
1533058131.203,37.109,12.695,6.348,-51.270,20.508
1533058131.206,21.484,13.672,20.020,-48.340,14.648
1533058131.210,9.766,16.113,11.719,-49.805,-7.812
1533058131.214,14.160,20.020,11.230,-55.664,17.578
1533058131.218,27.832,20.020,14.648,-50.293,54.688
1533058131.222,36.621,19.531,18.555,-45.410,53.223
1533058131.226,29.785,19.043,21.484,-44.434,10.254
1533058131.230,21.484,15.625,20.020,-48.340,14.648
1533058131.234,13.672,11.230,18.066,-60.547,39.062
1533058131.238,21.484,11.230,13.672,-59.082,23.926
1533058131.242,31.250,12.695,17.090,-45.410,20.020
1533058131.245,19.043,15.137,19.043,-43.457,53.223
1533058131.249,13.672,16.113,9.277,-54.199,60.059
1533058131.253,8.789,14.160,5.371,-55.664,70.801
1533058131.257,13.184,13.184,-3.418,-55.664,10.742
1533058131.261,25.879,16.113,5.371,-55.664,-21.973
1533058131.265,20.508,17.090,20.020,-52.246,50.293
