timestamps,TP9,AF7,AF8,TP10,Right AUX
1533222741.577,-6.348,51.758,-24.414,4.395,-9.277
1533222741.580,-12.207,55.664,-65.918,3.906,-27.832
1533222741.584,1.953,49.805,61.523,8.789,11.719
1533222741.588,20.508,54.688,159.180,19.531,67.871
1533222741.592,24.902,59.570,117.188,26.855,72.754
1533222741.596,24.902,60.547,-26.855,28.809,71.777
1533222741.600,19.043,60.059,-60.059,24.902,5.859
1533222741.604,28.809,61.523,98.633,21.973,-5.371
1533222741.608,40.527,62.988,152.832,24.902,72.266
1533222741.612,31.738,58.594,135.254,25.879,89.355
1533222741.616,24.414,57.617,36.133,22.461,69.336
1533222741.619,12.207,58.105,-58.105,19.531,55.664
1533222741.623,14.648,58.105,31.738,21.484,28.809
1533222741.627,29.297,58.105,97.168,19.043,49.316
1533222741.631,30.273,58.594,112.305,15.137,15.625
1533222741.635,20.508,59.570,60.059,13.672,-21.973
1533222741.639,3.418,55.176,-49.805,11.719,38.086
1533222741.643,-5.859,51.270,11.230,13.672,60.059
1533222741.647,7.324,50.293,97.656,12.695,22.949
1533222741.651,21.973,53.223,150.879,11.230,34.180
1533222741.655,13.184,54.199,108.398,5.371,54.688
1533222741.658,-5.371,50.293,-45.898,-2.930,-24.414
1533222741.662,-14.648,50.293,15.137,-8.301,-23.926
1533222741.666,-3.418,54.199,104.004,-10.742,66.895
1533222741.670,1.953,48.828,128.418,-9.277,38.086
1533222741.674,-9.277,46.875,91.309,-12.207,-13.672
1533222741.678,-20.020,50.781,-44.434,-9.277,23.926
1533222741.682,-22.461,46.875,0.000,-6.348,53.223
1533222741.686,-3.906,43.945,89.844,-6.348,45.898
1533222741.690,9.277,46.387,75.684,-5.859,23.438
1533222741.694,10.742,46.875,100.098,-5.371,13.184
1533222741.698,2.930,45.898,42.969,-2.930,38.574
1533222741.701,-6.348,49.316,-0.488,-1.465,59.570
1533222741.705,4.883,51.270,40.527,-3.906,-8.301
1533222741.709,23.438,50.293,166.016,-2.441,11.230
1533222741.713,23.926,49.805,133.789,-3.418,15.137
1533222741.717,14.648,49.316,-47.363,-5.859,-46.387
1533222741.721,12.695,49.805,-38.574,-11.230,-0.488
1533222741.725,12.207,47.363,66.406,-14.160,14.160
1533222741.729,10.742,45.898,154.785,-8.301,55.176
1533222741.733,10.254,46.875,97.656,-7.324,58.594
1533222741.737,2.441,43.945,-83.008,-15.137,-10.254
1533222741.740,-8.789,42.969,-69.336,-22.461,17.578
1533222741.744,-10.254,43.457,47.852,-20.996,19.043
1533222741.748,-0.977,39.062,137.207,-20.996,50.781
1533222741.752,8.301,41.016,98.145,-17.578,71.289
1533222741.756,-2.930,42.480,-50.781,-16.113,25.391
1533222741.760,-13.672,41.504,-93.750,-20.020,24.902
1533222741.764,-0.977,41.992,6.348,-18.555,-55.664
1533222741.768,3.418,32.227,125.000,-19.531,-54.688
1533222741.772,2.441,29.785,123.535,-14.648,65.430
1533222741.776,-2.930,35.156,-15.625,-20.020,95.703
1533222741.779,-16.602,35.156,-104.492,-37.109,45.410
1533222741.783,-19.043,33.203,1.465,-37.109,4.883
1533222741.787,-7.812,32.715,99.609,-26.855,29.785
1533222741.791,-3.418,33.691,85.449,-23.926,-6.348
1533222741.795,-12.207,36.621,17.090,-27.344,-9.277
1533222741.799,-27.832,39.062,-81.543,-31.738,12.695
1533222741.803,-22.949,39.551,20.020,-35.645,53.223
1533222741.807,-4.395,33.691,88.379,-32.715,15.137
1533222741.811,-3.906,30.762,109.375,-24.902,-53.711
1533222741.815,-17.578,30.762,72.266,-23.926,5.371
1533222741.819,-23.438,33.203,-30.273,-25.879,68.359
1533222741.822,-23.438,34.180,16.602,-23.926,74.219
