timestamps,TP9,AF7,AF8,TP10,Right AUX
1533058268.930,13.672,35.645,32.227,5.371,25.391
1533058268.934,21.484,30.762,24.902,14.160,15.137
1533058268.938,33.203,29.785,29.297,19.043,20.996
1533058268.942,24.902,29.785,31.250,19.531,28.320
1533058268.946,16.113,32.227,27.832,19.531,14.160
1533058268.950,15.625,33.691,19.531,21.484,10.742
1533058268.954,27.344,34.180,22.461,20.996,48.828
1533058268.958,36.621,31.738,21.973,19.043,46.387
1533058268.962,26.855,34.180,11.719,16.113,59.082
1533058268.965,19.043,37.109,15.625,11.230,79.102
1533058268.969,19.043,34.180,17.578,15.137,32.715
1533058268.973,25.879,27.344,19.043,25.391,28.320
1533058268.977,46.875,31.250,31.738,34.180,38.574
1533058268.981,60.059,51.270,44.434,44.922,19.531
1533058268.985,58.105,56.641,51.758,56.641,46.387
1533058268.989,54.688,53.711,50.293,53.223,52.734
1533058268.993,56.641,53.711,45.898,46.387,8.301
1533058268.997,68.359,48.340,48.340,51.758,11.230
1533058269.001,65.918,43.457,51.270,47.852,13.184
1533058269.005,56.152,43.457,51.270,43.457,-30.273
1533058269.008,46.387,36.621,47.852,40.039,-6.836
1533058269.012,42.969,33.203,43.457,34.180,1.953
1533058269.016,60.547,40.527,46.875,34.180,38.574
1533058269.020,58.594,42.480,45.898,33.203,75.684
1533058269.024,40.527,44.922,36.621,33.691,33.691
1533058269.028,40.039,44.922,26.367,30.762,1.953
1533058269.032,43.945,41.016,26.367,25.391,-30.273
1533058269.036,51.270,40.039,34.668,32.715,-39.062
1533058269.040,55.176,41.016,32.715,31.738,17.578
1533058269.044,45.410,43.457,29.785,26.855,20.508
1533058269.047,35.156,43.457,32.227,28.809,17.578
1533058269.051,32.715,46.387,32.715,21.484,16.602
1533058269.055,41.504,53.223,38.574,20.020,27.344
1533058269.059,45.410,50.293,29.785,21.973,16.602
1533058269.063,29.785,45.898,25.879,20.508,7.324
1533058269.067,20.508,43.457,30.273,23.438,59.082
1533058269.071,23.438,40.039,26.855,20.996,109.375
1533058269.075,31.250,38.574,24.414,18.066,78.125
1533058269.079,31.250,33.203,27.832,18.555,54.688
1533058269.083,22.461,33.691,33.203,13.672,58.105
1533058269.087,11.719,37.598,25.879,9.766,56.641
1533058269.090,11.230,32.715,22.461,13.184,74.219
1533058269.094,25.391,33.203,35.156,21.484,55.176
1533058269.098,33.691,36.621,35.645,28.320,12.207
1533058269.102,27.832,34.668,30.762,27.832,34.668
1533058269.106,18.066,29.785,34.668,18.555,12.207
1533058269.110,16.113,24.902,33.691,16.113,-21.484
1533058269.114,25.391,24.902,32.715,21.484,30.762
1533058269.118,36.621,26.367,27.832,20.508,28.809
1533058269.122,33.203,27.344,27.344,20.996,19.531
1533058269.126,23.926,26.855,36.621,22.949,-4.395
1533058269.130,16.113,28.320,35.156,16.113,45.410
1533058269.133,34.180,34.668,30.762,19.043,77.148
1533058269.137,47.363,35.645,31.738,25.879,38.086
1533058269.141,35.156,31.250,22.461,24.902,-10.254
1533058269.145,26.855,26.367,18.555,20.020,13.672
1533058269.149,22.461,24.902,18.066,20.996,10.742
1533058269.153,23.926,23.438,21.973,20.020,-6.836
1533058269.157,30.762,23.926,26.367,17.090,65.918
1533058269.161,27.832,26.367,22.461,21.484,62.988
1533058269.165,22.461,24.414,27.344,24.902,21.484
1533058269.169,23.926,22.461,26.855,31.738,16.602
1533058269.172,29.785,20.996,25.391,32.715,7.812
1533058269.176,41.992,18.066,31.738,24.902,-1.465
1533058269.180,41.504,18.555,34.668,20.996,-28.320
1533058269.184,24.902,24.414,27.344,20.508,7.324
1533058269.188,14.160,27.344,20.020,15.625,36.621
1533058269.192,14.160,27.344,24.902,15.625,37.598
1533058269.196,29.297,30.273,31.738,25.391,21.484
1533058269.200,34.668,31.738,20.020,24.414,21.484
1533058269.204,20.020,31.250,16.113,11.719,34.668
1533058269.208,9.277,29.785,28.320,15.137,38.086
1533058269.212,13.184,27.832,33.691,22.461,66.406
1533058269.215,29.297,28.809,35.645,22.949,61.035
1533058269.219,31.738,30.273,36.133,22.461,22.461
1533058269.223,20.508,26.367,40.039,20.996,47.363
1533058269.227,16.602,21.484,33.203,15.137,49.316
1533058269.231,14.648,20.020,27.832,11.719,34.668
1533058269.235,20.508,20.020,34.180,8.789,7.812
1533058269.239,29.785,27.344,33.203,13.672,-1.953
1533058269.243,18.555,31.250,31.738,18.555,-20.508
1533058269.247,5.371,26.855,30.762,19.043,-5.371
1533058269.251,0.488,24.902,32.715,18.066,52.734
1533058269.254,10.254,26.367,34.668,16.113,19.531
1533058269.258,20.996,20.508,30.273,19.043,8.301
1533058269.262,8.789,18.555,30.762,16.602,8.789
1533058269.266,5.859,24.902,40.039,17.578,14.160
1533058269.270,11.230,25.391,34.180,17.090,33.691
1533058269.274,22.461,28.809,25.391,12.695,12.695
1533058269.278,36.133,29.785,20.020,18.555,30.762
1533058269.282,26.367,29.785,19.531,23.926,5.859
1533058269.286,15.625,32.227,31.738,19.531,28.320
1533058269.290,12.207,29.785,32.715,15.137,67.383
1533058269.294,17.090,25.879,31.250,22.949,75.195
1533058269.297,29.297,25.391,35.156,31.738,112.305
1533058269.301,29.297,29.785,33.691,33.203,74.219
1533058269.305,23.438,31.250,28.809,31.250,77.637
1533058269.309,21.484,32.227,26.367,31.250,73.730
1533058269.313,28.320,34.180,25.879,25.391,6.836
1533058269.317,43.945,31.250,29.785,23.438,6.348
1533058269.321,41.504,31.250,35.645,31.738,20.508
1533058269.325,28.809,30.762,37.109,35.156,2.441
1533058269.329,21.484,31.250,37.109,32.715,6.348
1533058269.333,22.949,32.715,36.621,24.414,94.727
1533058269.337,39.551,30.762,32.715,23.926,128.418
1533058269.340,41.504,27.832,27.344,18.555,78.125
1533058269.344,28.809,28.320,24.902,14.648,68.359
1533058269.348,24.414,26.855,12.695,17.578,12.695
1533058269.352,24.902,23.438,7.812,18.555,10.254
1533058269.356,40.039,23.926,11.230,21.484,44.434
1533058269.360,49.316,24.902,10.742,20.508,51.758
1533058269.364,32.715,25.879,14.160,18.066,55.664
1533058269.368,18.555,22.949,13.184,19.043,8.789
1533058269.372,21.973,21.973,12.695,17.578,-8.789
1533058269.376,33.691,24.414,19.043,18.555,12.695
1533058269.379,32.227,20.996,22.949,26.367,38.086
1533058269.383,18.555,20.508,21.484,15.137,11.719
1533058269.387,11.230,21.484,26.367,5.859,-17.578
1533058269.391,12.695,16.602,23.926,10.742,15.625
1533058269.395,20.996,19.043,20.996,10.742,52.246
1533058269.399,30.273,24.902,27.344,12.695,27.344
1533058269.403,24.414,26.367,28.809,10.254,-0.977
1533058269.407,16.113,26.855,23.438,9.766,-14.160
1533058269.411,14.648,26.367,20.508,10.742,-0.488
1533058269.415,26.855,26.855,31.738,18.555,20.020
1533058269.419,39.062,26.855,28.320,23.438,46.387
1533058269.422,29.297,25.391,20.020,20.508,18.066
1533058269.426,16.602,24.902,24.414,15.137,5.859
1533058269.430,6.348,23.438,19.043,7.812,25.391
1533058269.434,20.996,21.484,21.484,6.348,59.082
1533058269.438,50.781,23.926,20.996,19.043,66.895
1533058269.442,48.828,29.785,22.949,39.551,-5.371
1533058269.446,21.484,26.367,36.133,28.320,32.227
1533058269.450,4.883,18.555,32.227,6.836,47.852
1533058269.454,10.254,19.043,29.297,0.977,20.020
1533058269.458,23.926,17.578,33.691,6.348,29.785
1533058269.462,23.926,16.602,34.180,17.578,51.270
1533058269.465,11.719,17.090,22.949,14.160,54.199
1533058269.469,6.836,15.137,14.160,4.883,-11.719
1533058269.473,14.160,17.090,20.508,8.789,-33.203
1533058269.477,22.949,15.137,28.809,11.719,38.086
1533058269.481,23.926,16.113,32.227,14.648,53.711
1533058269.485,17.090,22.461,29.297,17.578,-9.766
1533058269.489,10.742,23.926,23.926,15.137,-5.371
1533058269.493,8.789,18.555,28.320,12.207,41.504
1533058269.497,18.555,17.090,34.180,13.184,27.344
1533058269.501,24.414,19.531,31.738,12.207,6.836
1533058269.504,15.625,21.484,35.156,12.207,6.348
1533058269.508,-0.488,23.438,33.691,12.695,49.316
1533058269.512,0.488,24.902,24.902,13.184,62.012
1533058269.516,17.090,21.484,24.902,16.113,-9.277
1533058269.520,23.926,19.043,24.414,18.555,-24.902
