timestamps,TP9,AF7,AF8,TP10,Right AUX
1533059895.603,9.766,19.531,21.484,-42.969,47.852
1533059895.607,23.926,15.137,22.949,-39.062,0.000
1533059895.611,47.852,17.578,21.973,-35.645,28.809
1533059895.615,38.574,22.461,14.648,-39.062,77.637
1533059895.619,20.996,26.367,12.207,-39.551,62.012
1533059895.623,-1.953,21.973,19.043,-42.480,1.953
1533059895.627,-3.418,14.160,23.926,-48.828,10.742
1533059895.631,31.738,16.602,29.785,-41.504,44.434
1533059895.635,37.598,21.484,34.180,-33.203,77.148
1533059895.639,21.973,20.996,25.879,-37.109,46.875
1533059895.642,4.395,21.484,19.043,-45.898,44.922
1533059895.646,5.859,19.043,18.555,-46.875,1.465
1533059895.650,36.621,16.113,19.531,-36.621,-6.348
1533059895.654,40.039,12.695,18.066,-30.762,51.758
1533059895.658,23.438,11.719,15.137,-28.809,49.805
1533059895.662,10.742,15.137,8.789,-32.227,28.320
1533059895.666,8.789,13.184,10.742,-38.574,45.410
1533059895.670,34.180,12.207,14.160,-38.574,19.043
1533059895.674,40.527,16.602,10.742,-33.203,33.203
1533059895.678,28.809,20.020,3.906,-32.227,27.344
1533059895.682,18.066,26.367,6.348,-36.133,1.465
1533059895.685,11.719,28.320,12.207,-35.156,-17.578
1533059895.689,34.180,26.367,18.066,-34.180,-20.996
1533059895.693,38.574,25.879,21.484,-33.203,62.500
1533059895.697,23.438,27.832,18.066,-27.344,41.016
1533059895.701,11.230,25.391,14.160,-29.297,29.297
1533059895.705,3.418,23.438,11.230,-32.715,35.645
1533059895.709,24.414,26.855,9.766,-28.320,-2.930
1533059895.713,35.645,25.391,10.742,-27.832,-21.484
1533059895.717,20.508,23.926,12.207,-33.691,2.441
1533059895.721,5.371,24.902,12.695,-37.109,10.254
1533059895.725,-4.883,25.391,11.230,-39.551,29.297
1533059895.728,15.137,22.461,13.184,-40.527,28.320
1533059895.732,33.691,22.461,21.484,-35.645,-11.230
1533059895.736,28.809,22.949,22.461,-34.668,39.062
1533059895.740,16.113,21.484,18.066,-40.039,15.137
1533059895.744,-0.977,18.555,20.020,-44.434,24.414
1533059895.748,12.695,17.578,24.414,-41.016,62.500
1533059895.752,32.715,15.137,26.367,-33.691,46.875
1533059895.756,25.879,12.207,27.344,-33.691,58.105
1533059895.760,18.555,16.113,23.438,-33.691,54.199
1533059895.764,7.324,17.090,16.113,-28.809,67.871
1533059895.767,21.973,17.090,14.160,-24.902,55.176
1533059895.771,49.805,22.461,15.137,-21.484,85.449
1533059895.775,38.574,20.020,14.648,-20.508,61.523
1533059895.779,20.508,15.137,19.043,-22.949,39.062
1533059895.783,7.812,12.695,20.996,-22.949,7.812
1533059895.787,17.090,17.090,21.484,-23.926,-56.152
1533059895.791,41.016,24.414,21.973,-24.902,31.738
1533059895.795,41.504,23.926,20.020,-21.484,44.922
1533059895.799,30.273,23.926,20.996,-23.438,-24.414
1533059895.803,9.277,23.438,23.438,-31.738,-44.922
1533059895.807,12.207,22.949,26.855,-34.180,-53.223
1533059895.810,40.527,26.367,34.668,-27.832,-72.266
1533059895.814,41.504,26.855,34.180,-24.902,-4.883
1533059895.818,23.438,21.973,30.273,-26.855,29.785
1533059895.822,1.465,16.113,26.855,-31.250,-2.441
1533059895.826,1.953,16.113,23.438,-35.156,15.625
1533059895.830,29.297,18.555,24.902,-36.621,50.781
1533059895.834,33.203,13.184,22.461,-34.668,2.441
1533059895.838,20.508,14.648,16.602,-32.227,-4.883
1533059895.842,5.371,17.090,7.812,-39.062,39.551
1533059895.846,4.395,11.719,3.906,-41.504,20.996
1533059895.850,26.367,12.207,8.789,-37.598,2.441
1533059895.853,31.738,16.602,10.254,-33.203,-49.316
1533059895.857,22.949,17.090,15.625,-32.227,-36.133
1533059895.861,11.230,15.137,21.484,-31.738,29.785
1533059895.865,7.812,13.672,20.508,-31.250,31.250
1533059895.869,32.715,18.555,18.066,-32.715,45.410
1533059895.873,44.434,21.973,14.160,-33.203,84.473
1533059895.877,31.250,20.020,16.113,-37.109,90.332
1533059895.881,8.789,19.531,20.996,-43.457,28.809
1533059895.885,-1.465,20.508,18.555,-47.363,26.367
1533059895.889,20.996,20.996,15.625,-49.805,62.012
1533059895.892,31.250,19.043,17.090,-42.969,57.617
1533059895.896,18.555,18.555,11.719,-41.016,4.883
1533059895.900,7.812,20.996,6.348,-49.316,31.738
1533059895.904,-1.465,20.020,-3.906,-48.828,78.613
1533059895.908,18.555,19.531,-6.348,-45.898,22.461
1533059895.912,40.527,23.438,7.324,-40.039,24.902
1533059895.916,29.297,23.926,7.812,-35.645,46.875
1533059895.920,18.066,22.949,3.418,-37.109,57.617
1533059895.924,10.742,23.438,1.953,-34.668,49.805
1533059895.928,23.438,24.902,-0.977,-34.180,83.496
1533059895.932,41.016,21.484,-4.883,-33.691,75.684
1533059895.935,34.668,17.090,-7.812,-32.227,29.297
1533059895.939,20.508,18.066,-9.766,-34.668,17.578
1533059895.943,4.883,17.090,-8.789,-35.645,49.805
1533059895.947,19.531,22.949,-6.348,-31.250,109.863
1533059895.951,50.293,28.320,-5.371,-24.902,52.246
1533059895.955,41.992,27.832,-3.418,-29.297,22.461
1533059895.959,23.438,28.809,-1.953,-35.156,13.184
1533059895.963,5.859,25.879,-10.254,-36.621,62.012
1533059895.967,12.207,24.414,-22.461,-39.062,42.969
1533059895.971,40.527,28.320,-20.508,-38.086,-44.434
1533059895.975,38.574,31.250,-14.648,-34.668,20.996
1533059895.978,18.555,28.809,-10.742,-36.133,19.043
