timestamps,TP9,AF7,AF8,TP10,Right AUX
1533058410.339,35.645,30.273,38.086,40.527,76.660
1533058410.343,36.133,34.180,31.250,39.551,12.695
1533058410.347,16.602,29.297,35.645,18.555,-41.016
1533058410.351,19.531,24.414,38.086,13.184,-23.438
1533058410.355,37.598,31.738,30.762,24.414,-33.691
1533058410.359,31.738,33.691,27.832,26.367,-29.785
1533058410.363,29.785,27.344,17.090,34.668,48.828
1533058410.367,28.320,29.785,3.906,37.109,22.461
1533058410.371,31.250,30.273,2.441,41.992,17.578
1533058410.374,35.156,22.949,7.812,44.922,37.109
1533058410.378,34.180,25.391,4.395,39.551,94.238
1533058410.382,26.855,30.273,0.000,39.062,72.266
1533058410.386,22.461,29.785,-2.930,36.621,37.109
1533058410.390,33.203,26.855,-7.812,27.344,16.602
1533058410.394,37.109,20.508,0.977,35.645,31.738
1533058410.398,22.461,19.043,-4.395,41.504,62.988
1533058410.402,14.648,21.484,-13.672,24.414,46.387
1533058410.406,19.043,22.949,-13.672,24.414,39.062
1533058410.410,23.926,23.926,-11.230,28.809,48.828
1533058410.413,30.762,22.461,-6.348,25.391,16.602
1533058410.417,32.227,24.902,-3.418,25.879,-38.574
1533058410.421,15.625,27.344,6.836,30.273,28.809
1533058410.425,3.418,28.320,12.207,21.973,44.434
1533058410.429,8.789,24.902,5.859,14.160,20.508
1533058410.433,28.320,24.902,4.883,21.973,45.898
1533058410.437,26.367,26.367,7.812,26.855,36.621
1533058410.441,14.160,28.320,4.883,28.809,21.484
1533058410.445,19.043,29.785,0.488,36.621,4.883
1533058410.449,19.043,29.297,0.977,27.344,-20.020
1533058410.453,29.785,29.297,12.207,26.367,-6.348
1533058410.456,24.902,31.738,11.719,30.273,5.859
1533058410.460,9.277,32.227,4.883,17.578,19.043
1533058410.464,17.578,33.691,9.277,20.020,36.621
1533058410.468,18.555,40.039,1.465,21.484,33.203
1533058410.472,17.090,35.645,5.859,16.602,1.465
1533058410.476,24.902,38.086,5.371,20.020,28.320
1533058410.480,46.875,38.086,-0.488,37.109,67.871
1533058410.484,20.020,37.598,-2.441,18.555,72.754
1533058410.488,22.949,37.598,-6.348,24.414,44.922
1533058410.492,58.105,36.133,2.930,41.016,25.391
1533058410.496,41.504,36.133,10.254,30.762,45.410
1533058410.499,36.133,35.156,4.883,26.855,31.738
1533058410.503,14.160,34.180,3.906,19.043,11.719
1533058410.507,1.953,32.227,5.859,12.695,-2.441
1533058410.511,25.391,33.691,0.488,10.254,8.789
1533058410.515,45.898,35.156,-1.953,28.809,-4.883
1533058410.519,32.715,34.668,0.977,37.109,13.672
1533058410.523,13.184,37.109,-0.977,18.066,57.617
1533058410.527,22.949,37.598,-4.883,15.625,50.781
1533058410.531,34.180,29.785,1.953,8.301,60.547
1533058410.535,32.715,36.621,1.465,16.113,17.578
