timestamps,TP9,AF7,AF8,TP10,Right AUX
1533060931.117,20.996,23.926,29.297,20.020,62.012
1533060931.121,40.039,22.949,28.809,21.973,53.223
1533060931.125,48.340,24.902,31.250,28.320,33.691
1533060931.128,29.297,24.414,33.203,27.832,36.621
1533060931.132,16.113,25.879,27.344,20.996,67.871
1533060931.136,6.348,25.391,23.438,15.625,43.945
1533060931.140,26.367,20.996,27.344,15.625,-14.160
1533060931.144,36.621,19.531,36.133,15.137,-51.270
1533060931.148,18.555,17.090,32.227,12.207,-10.254
1533060931.152,8.301,14.648,20.996,11.230,50.781
1533060931.156,0.977,17.578,13.672,6.836,-7.812
1533060931.160,20.508,20.020,11.230,7.812,-19.531
1533060931.164,37.598,16.113,15.137,12.207,46.387
1533060931.168,22.461,7.812,16.602,12.207,44.434
1533060931.171,13.184,11.230,12.695,10.742,39.551
1533060931.175,8.301,19.043,8.789,4.883,65.918
1533060931.179,19.531,17.578,13.672,6.348,14.648
1533060931.183,36.621,15.137,18.066,15.625,25.879
1533060931.187,21.973,11.719,19.531,12.207,13.672
1533060931.191,7.324,11.230,19.531,4.395,-37.598
1533060931.195,-8.789,12.207,13.672,-1.953,19.531
1533060931.199,-1.465,9.766,11.230,-2.441,55.176
1533060931.203,24.902,9.766,16.113,6.348,-1.953
1533060931.207,16.113,9.766,17.578,6.836,-4.883
1533060931.211,-1.953,8.301,11.719,0.000,27.344
1533060931.214,-13.672,10.742,9.766,-2.930,33.203
1533060931.218,-4.883,12.207,6.836,0.977,58.594
1533060931.222,18.066,9.277,8.301,5.859,28.809
1533060931.226,18.555,11.719,17.090,11.719,20.508
1533060931.230,7.324,13.184,12.695,9.277,76.660
1533060931.234,-4.883,15.625,7.324,4.883,29.785
1533060931.238,10.742,22.949,9.277,8.301,6.348
1533060931.242,43.945,21.973,10.742,9.766,44.922
1533060931.246,40.527,17.090,20.508,11.230,78.613
1533060931.250,18.555,11.719,25.879,9.277,62.500
1533060931.253,1.465,10.742,20.508,7.812,86.914
1533060931.257,13.184,15.137,18.066,12.207,69.336
1533060931.261,46.387,20.508,22.949,16.602,36.133
1533060931.265,46.387,19.531,25.391,14.160,142.090
1533060931.269,30.762,18.066,18.066,12.695,89.355
1533060931.273,21.484,20.996,10.254,8.789,-52.246
1533060931.277,20.508,20.996,9.766,2.930,-91.309
1533060931.281,44.434,22.949,11.719,4.395,-21.484
1533060931.285,47.363,22.461,10.742,8.789,21.973
1533060931.289,33.203,24.414,8.301,13.672,6.836
1533060931.293,22.949,28.320,3.418,19.043,30.762
1533060931.296,14.648,28.809,7.324,18.066,30.273
1533060931.300,33.691,28.320,22.461,19.043,39.062
1533060931.304,38.086,25.879,24.414,19.043,20.996
1533060931.308,20.508,22.461,21.973,13.672,35.156
1533060931.312,11.230,24.902,32.227,13.184,18.555
1533060931.316,7.812,26.855,40.039,18.066,-21.484
1533060931.320,24.902,25.879,41.016,20.996,8.789
1533060931.324,37.598,26.367,35.645,20.996,4.883
1533060931.328,24.902,26.367,36.621,25.391,26.855
1533060931.332,9.277,27.832,43.457,25.879,30.762
1533060931.336,-1.953,26.855,45.898,19.531,10.254
1533060931.339,21.973,26.855,48.340,25.391,-31.250
1533060931.343,42.969,29.297,52.734,30.273,-60.547
1533060931.347,31.738,32.227,53.223,24.902,-12.695
1533060931.351,25.391,33.691,48.828,21.973,-16.113
1533060931.355,16.602,31.738,51.758,15.137,-7.812
1533060931.359,34.180,32.227,52.246,12.207,69.824
1533060931.363,57.129,33.691,48.340,17.090,73.242
1533060931.367,37.109,30.762,47.363,15.137,56.152
1533060931.371,17.090,28.809,42.969,7.324,43.457
1533060931.375,4.883,28.320,41.992,2.930,20.020
1533060931.379,13.672,25.391,42.969,5.859,42.969
1533060931.382,28.809,24.902,39.551,5.371,68.359
1533060931.386,18.555,23.438,33.203,-0.977,26.855
1533060931.390,7.812,20.996,27.344,1.465,30.762
1533060931.394,-0.977,25.879,27.344,10.254,52.734
1533060931.398,9.766,27.832,26.855,12.695,43.457
1533060931.402,38.086,27.832,34.668,16.113,35.156
1533060931.406,40.527,28.320,37.598,26.367,-5.371
1533060931.410,24.902,26.367,26.367,23.438,18.066
1533060931.414,10.742,27.832,19.043,17.578,67.383
1533060931.418,18.066,26.367,14.648,18.066,71.777
1533060931.422,40.039,25.391,16.602,23.926,51.270
1533060931.425,37.598,23.926,22.461,24.414,33.203
1533060931.429,27.344,23.926,23.926,20.020,57.129
1533060931.433,12.695,24.902,27.344,16.113,59.570
1533060931.437,11.719,27.344,24.902,14.160,67.383
1533060931.441,44.434,32.715,30.762,27.832,95.215
1533060931.445,53.223,32.715,36.133,29.297,25.391
1533060931.449,37.598,32.715,34.180,24.414,-23.438
1533060931.453,20.508,29.785,36.133,24.902,57.617
1533060931.457,17.090,28.320,41.016,24.902,101.074
1533060931.461,38.086,27.344,47.852,30.273,58.105
1533060931.465,37.598,24.902,50.293,31.738,2.930
1533060931.468,19.531,23.926,48.828,23.926,26.855
1533060931.472,8.301,26.367,44.434,18.066,18.066
1533060931.476,13.184,28.320,42.480,25.879,-13.184
1533060931.480,35.645,26.367,41.992,32.715,15.625
1533060931.484,40.527,26.367,42.480,31.250,-25.879
1533060931.488,31.250,31.250,41.504,27.832,-46.387
1533060931.492,16.113,34.180,35.156,19.531,-1.953
1533060931.496,5.371,34.180,32.227,17.090,-48.828
1533060931.500,30.273,32.227,27.832,20.020,-61.523
1533060931.504,44.922,29.297,19.043,21.484,22.461
1533060931.507,34.668,25.879,15.625,25.391,25.879
1533060931.511,22.461,23.926,20.020,24.414,26.855
1533060931.515,7.324,25.879,26.855,15.137,28.809
1533060931.519,25.879,24.902,27.344,13.184,46.875
1533060931.523,41.992,22.949,24.902,19.531,9.766
1533060931.527,30.273,25.879,27.832,22.949,-18.555
1533060931.531,21.973,28.320,20.508,17.578,-44.922
1533060931.535,11.230,30.762,23.438,12.207,16.602
1533060931.539,24.902,29.297,30.273,14.648,126.953
1533060931.543,41.504,26.367,25.879,19.531,27.344
1533060931.547,31.738,26.367,35.645,19.043,6.836
1533060931.550,16.602,21.484,38.574,12.695,52.246
1533060931.554,4.395,23.438,25.391,9.766,70.801
1533060931.558,23.926,26.855,23.438,18.066,54.199
1533060931.562,46.387,23.926,30.762,21.973,0.977
1533060931.566,37.598,22.949,28.809,19.043,0.000
1533060931.570,24.414,22.461,22.949,16.113,30.273
1533060931.574,11.230,18.066,17.090,13.672,7.812
1533060931.578,20.996,14.160,21.973,21.484,10.254
1533060931.582,41.992,20.508,32.227,24.414,38.086
1533060931.586,42.480,27.344,38.574,28.320,14.160
1533060931.590,31.250,26.367,41.016,33.203,58.594
1533060931.593,12.695,22.949,41.992,27.832,36.621
1533060931.597,15.625,22.949,37.109,27.344,20.508
1533060931.601,38.086,22.949,35.645,31.250,66.895
1533060931.605,37.598,21.973,31.738,29.297,8.789
1533060931.609,28.320,23.926,23.926,29.297,35.156
1533060931.613,12.207,23.438,20.020,24.414,62.988
1533060931.617,7.324,22.461,17.578,18.555,19.531
1533060931.621,37.598,28.320,16.113,27.832,10.254
1533060931.625,43.457,31.250,14.648,37.109,56.152
1533060931.629,27.832,30.762,7.812,37.109,71.777
1533060931.633,12.695,30.273,0.000,26.855,66.895
1533060931.636,12.695,27.832,0.000,25.879,31.738
1533060931.640,39.062,31.250,7.812,29.785,18.066
1533060931.644,45.410,35.156,16.602,28.809,16.602
1533060931.648,37.109,35.156,21.973,33.203,-7.324
1533060931.652,20.996,35.645,17.090,31.738,31.738
1533060931.656,8.301,34.668,17.090,26.855,57.129
1533060931.660,35.156,34.668,24.414,28.320,48.340
1533060931.664,49.805,34.668,20.508,30.273,35.156
1533060931.668,29.785,34.180,15.625,26.367,19.531
1533060931.672,18.066,34.668,14.648,27.344,38.574
1533060931.676,10.254,35.156,13.184,24.902,1.953
1533060931.679,26.855,36.133,23.926,23.926,15.625
1533060931.683,45.410,37.598,31.250,31.738,59.082
1533060931.687,41.504,39.551,25.391,37.598,16.602
1533060931.691,28.320,36.621,17.578,36.133,-4.883
1533060931.695,12.207,32.227,15.625,28.320,-20.020
1533060931.699,23.926,32.715,20.020,20.020,-17.090
1533060931.703,34.180,31.738,22.949,19.531,29.297
1533060931.707,29.297,31.250,23.926,23.926,38.574
1533060931.711,18.555,29.297,23.926,21.973,44.434
1533060931.715,3.906,28.809,26.367,18.066,93.750
1533060931.719,18.555,33.203,20.996,17.578,46.875
1533060931.722,44.922,35.156,19.043,24.902,-21.484
1533060931.726,37.598,35.156,25.391,24.414,29.785
