timestamps,TP9,AF7,AF8,TP10,Right AUX
1533045067.911,17.090,21.484,21.484,14.160,19.043
1533045067.915,32.227,-12.695,16.602,17.090,-38.574
1533045067.919,36.621,23.438,16.113,21.973,14.160
1533045067.923,30.762,72.266,19.531,26.367,2.441
1533045067.927,24.414,38.574,21.973,27.832,-34.180
1533045067.931,21.484,-14.160,22.949,25.391,2.930
1533045067.934,31.250,-14.160,19.531,27.344,31.738
1533045067.938,38.086,35.645,27.344,35.645,16.602
1533045067.942,35.156,88.379,31.738,33.203,7.324
1533045067.946,26.855,83.008,20.996,27.344,83.984
1533045067.950,25.391,29.297,14.648,25.879,66.406
1533045067.954,37.109,26.367,20.020,23.926,30.762
1533045067.958,38.574,-23.438,11.230,27.832,23.438
1533045067.962,25.391,-11.719,13.184,23.926,14.160
1533045067.966,19.043,84.473,32.227,25.879,38.574
1533045067.970,20.020,52.246,24.902,22.949,14.160
1533045067.973,30.273,34.180,17.578,22.949,29.297
1533045067.977,44.434,37.598,20.996,35.645,24.902
1533045067.981,44.434,77.637,30.762,34.668,44.922
1533045067.985,48.828,51.270,30.273,36.621,39.062
1533045067.989,48.828,-2.441,33.203,38.574,0.000
1533045067.993,45.898,47.852,25.391,32.715,26.367
1533045067.997,48.828,0.488,7.812,27.832,-3.418
1533045068.001,50.293,16.602,25.879,42.969,44.434
1533045068.005,58.105,91.797,34.668,56.152,83.984
1533045068.009,29.297,40.039,15.137,23.438,22.461
1533045068.013,8.301,23.438,9.766,0.000,8.301
1533045068.016,29.785,44.922,17.578,10.254,4.883
1533045068.020,20.508,63.477,25.879,5.859,-39.062
1533045068.024,18.066,28.320,14.160,3.418,-40.527
1533045068.028,27.344,2.930,7.812,4.883,-37.598
1533045068.032,24.414,47.852,12.207,6.348,-22.949
1533045068.036,32.715,10.742,9.277,15.137,-6.348
1533045068.040,24.902,31.250,14.648,6.348,28.320
1533045068.044,22.949,111.328,23.438,8.789,44.434
1533045068.048,22.461,71.289,21.973,13.184,0.000
1533045068.052,13.184,63.477,7.324,-0.977,-4.883
1533045068.056,30.273,54.688,5.371,10.742,28.320
1533045068.059,33.203,71.289,20.508,22.461,66.895
1533045068.063,28.320,97.168,24.414,21.484,78.613
1533045068.067,32.715,37.598,13.184,23.438,44.434
1533045068.071,26.855,-18.555,7.812,23.438,-28.320
1533045068.075,27.832,-5.859,14.160,18.066,-45.898
1533045068.079,38.574,52.734,23.926,18.555,-26.855
1533045068.083,35.156,138.672,35.156,25.391,35.156
1533045068.087,35.156,114.746,27.832,24.414,42.480
1533045068.091,30.762,64.941,21.484,20.996,-17.090
1533045068.095,32.715,61.523,17.578,18.066,-0.488
1533045068.098,40.527,46.875,19.043,20.508,30.762
1533045068.102,38.086,100.586,30.762,23.438,7.812
1533045068.106,40.527,129.883,28.809,26.855,-2.930
1533045068.110,33.203,86.914,17.578,29.297,3.906
1533045068.114,36.133,87.402,21.973,30.273,30.762
1533045068.118,53.223,115.234,32.715,40.527,78.613
1533045068.122,52.246,137.207,27.344,43.457,62.012
1533045068.126,41.016,132.812,21.484,43.945,-21.484
1533045068.130,30.762,141.113,22.949,36.133,-42.969
1533045068.134,42.480,133.789,12.695,27.344,-12.207
1533045068.138,53.223,139.160,19.043,36.133,19.043
1533045068.141,40.527,179.688,27.832,41.504,76.172
1533045068.145,38.086,135.254,15.137,41.016,50.293
1533045068.149,33.691,77.148,4.883,28.809,-12.695
1533045068.153,30.273,82.520,16.113,25.879,1.465
1533045068.157,42.480,50.781,17.090,26.855,27.832
1533045068.161,40.527,103.027,19.531,22.949,43.945
1533045068.165,28.320,138.184,20.508,25.879,44.922
1533045068.169,31.738,86.914,12.695,26.855,23.926
1533045068.173,29.785,128.906,20.508,22.949,42.480
1533045068.177,41.016,93.750,24.902,23.438,75.195
1533045068.181,45.410,90.332,21.484,30.762,32.715
1533045068.184,31.738,186.035,19.043,24.414,47.363
1533045068.188,23.926,161.621,15.137,20.996,43.457
1533045068.192,17.090,139.648,11.719,21.973,49.316
1533045068.196,28.320,125.488,13.184,25.391,23.926
1533045068.200,35.156,152.344,20.020,31.250,10.742
1533045068.204,34.668,156.738,17.090,27.832,17.578
1533045068.208,24.414,73.730,7.324,25.879,-48.828
1533045068.212,20.996,10.742,11.230,25.879,-19.531
1533045068.216,31.738,0.977,23.926,25.391,44.434
1533045068.220,38.086,48.340,27.832,24.902,61.523
1533045068.223,31.738,131.836,28.320,21.484,53.223
1533045068.227,29.297,99.609,20.508,23.438,12.207
1533045068.231,22.461,51.270,15.625,16.113,-23.438
1533045068.235,33.203,43.945,14.160,18.066,-2.930
1533045068.239,62.988,79.102,17.090,39.551,23.926
1533045068.243,63.965,119.141,24.414,50.781,69.824
1533045068.247,33.691,71.289,25.879,37.598,61.523
1533045068.251,5.859,26.367,26.367,9.277,-12.207
1533045068.255,0.000,1.465,25.879,0.488,-11.230
1533045068.259,14.648,-5.371,25.391,27.832,7.324
1533045068.263,9.766,24.902,27.344,30.762,-24.902
1533045068.266,6.836,32.227,30.273,24.902,-47.852
