timestamps,TP9,AF7,AF8,TP10,Right AUX
1533057448.495,22.461,43.457,-33.691,22.461,10.254
1533057448.499,35.645,45.410,-8.789,29.785,16.602
1533057448.503,49.316,47.363,29.785,47.852,35.645
1533057448.507,33.691,46.387,11.719,49.316,50.293
1533057448.511,18.066,44.434,-19.531,35.645,38.086
1533057448.515,17.578,42.480,-27.832,33.691,-15.625
1533057448.519,31.250,36.621,-22.949,33.691,1.465
1533057448.523,42.969,36.621,4.395,32.227,27.344
1533057448.527,30.273,39.062,17.090,34.668,15.625
1533057448.531,20.020,36.621,-8.301,34.180,29.297
1533057448.534,19.043,36.133,-18.555,29.785,72.266
1533057448.538,28.809,34.180,-12.207,33.691,52.734
1533057448.542,49.805,42.480,7.812,41.992,26.855
1533057448.546,40.039,43.457,0.000,35.156,46.387
1533057448.550,23.438,33.691,-19.043,26.855,48.340
1533057448.554,17.578,32.227,-34.668,20.020,52.246
1533057448.558,29.785,29.297,-38.086,20.020,-15.137
1533057448.562,48.828,32.227,-4.883,35.156,17.090
1533057448.566,41.504,32.715,7.324,41.992,43.457
1533057448.570,31.250,30.273,2.930,36.621,28.320
1533057448.574,26.855,37.109,10.254,29.297,103.027
1533057448.577,39.551,38.574,-17.090,34.180,41.992
1533057448.581,52.246,38.086,0.977,38.086,-2.930
1533057448.585,43.945,38.574,43.945,41.992,60.547
1533057448.589,38.574,33.691,16.113,40.527,-3.906
1533057448.593,24.902,32.227,-14.160,25.879,-17.578
1533057448.597,30.762,35.645,-32.227,23.438,-11.719
1533057448.601,55.664,38.574,-4.395,32.715,20.508
1533057448.605,49.316,38.574,8.789,40.039,18.066
1533057448.609,28.809,35.156,-18.555,38.086,-4.395
1533057448.613,18.555,38.574,-21.484,21.973,35.645
1533057448.617,26.367,43.945,-16.602,13.184,104.004
1533057448.620,44.922,41.016,-7.324,20.020,81.055
1533057448.624,42.969,41.016,15.137,25.879,18.066
1533057448.628,29.297,41.992,11.719,27.344,26.367
1533057448.632,18.555,45.898,-6.348,20.508,118.652
1533057448.636,25.391,45.898,-20.020,16.113,90.820
1533057448.640,44.434,40.527,0.000,26.367,27.344
1533057448.644,44.922,41.504,45.410,33.691,36.621
1533057448.648,32.227,40.039,48.828,32.227,12.207
1533057448.652,21.973,34.180,20.508,24.902,10.254
1533057448.656,21.973,26.855,3.418,16.602,48.828
1533057448.659,45.410,32.227,28.320,23.926,26.855
1533057448.663,57.617,39.551,60.059,38.574,-8.301
1533057448.667,29.297,30.762,38.574,24.902,-20.996
1533057448.671,9.766,24.414,3.906,6.348,-33.203
1533057448.675,14.160,24.902,4.883,7.812,4.883
1533057448.679,32.715,27.344,17.090,13.672,-19.531
1533057448.683,39.551,36.133,39.551,17.090,39.551
1533057448.687,23.438,39.062,27.344,20.996,47.363
1533057448.691,12.695,33.203,-5.371,18.555,-4.883
1533057448.695,17.578,36.133,-14.160,15.137,62.988
1533057448.699,32.715,34.668,-18.066,29.297,54.199
1533057448.702,42.969,31.250,12.207,43.457,69.336
1533057448.706,32.227,34.180,34.668,41.016,75.684
1533057448.710,16.602,33.691,15.625,32.715,67.383
1533057448.714,14.160,31.738,-12.207,24.902,34.668
1533057448.718,27.344,30.273,-16.113,27.344,-25.391
1533057448.722,39.062,37.109,12.207,37.109,-12.695
1533057448.726,31.250,41.016,5.859,36.621,1.465
1533057448.730,18.066,41.992,-25.391,29.297,15.137
1533057448.734,13.184,41.504,-41.992,19.043,-3.906
1533057448.738,26.855,38.086,-29.785,18.555,-43.457
1533057448.742,41.992,44.922,-4.395,26.367,-37.598
1533057448.745,31.250,50.293,-2.930,28.320,2.930
1533057448.749,17.090,41.992,-18.066,24.902,20.996
1533057448.753,9.766,36.133,-24.902,17.578,-30.273
1533057448.757,15.137,36.133,-16.602,15.137,46.387
1533057448.761,32.227,37.109,-23.438,19.531,76.660
1533057448.765,26.855,43.457,-10.742,23.438,39.551
1533057448.769,16.602,41.504,-5.859,20.508,76.172
1533057448.773,11.719,34.180,-31.250,9.277,94.727
1533057448.777,20.996,34.668,-37.598,13.672,32.227
1533057448.781,42.969,39.062,-14.648,27.832,4.883
1533057448.784,38.086,39.551,3.418,28.809,16.113
1533057448.788,20.020,33.691,-10.742,21.484,14.160
1533057448.792,9.766,33.691,-19.043,13.672,98.145
1533057448.796,16.602,35.645,-22.949,15.625,116.699
1533057448.800,32.715,31.738,-22.949,20.020,-13.672
1533057448.804,28.320,37.598,11.230,22.461,-25.391
1533057448.808,20.508,45.898,19.043,28.320,-14.648
1533057448.812,13.184,42.969,11.230,21.484,-38.086
1533057448.816,11.230,37.598,12.695,11.719,-32.715
1533057448.820,31.738,39.551,16.113,21.484,-51.270
1533057448.824,38.574,41.016,34.180,30.762,-24.414
1533057448.827,20.996,36.621,24.902,26.367,41.016
1533057448.831,4.883,29.785,0.488,15.137,52.734
1533057448.835,2.930,26.855,-1.953,6.836,111.816
1533057448.839,22.461,32.227,-0.977,13.184,67.383
1533057448.843,32.227,35.645,5.371,16.113,-29.785
1533057448.847,21.484,36.621,6.836,11.230,-26.367
1533057448.851,9.277,37.598,-0.488,5.371,53.223
1533057448.855,3.906,32.227,-9.277,-0.977,43.945
1533057448.859,26.855,14.160,3.418,18.555,-63.965
1533057448.863,64.941,20.996,30.273,53.711,-72.266
1533057448.867,44.434,41.016,19.531,35.156,-24.902
1533057448.870,-8.301,37.598,-9.766,-11.719,14.160
1533057448.874,-10.742,36.133,-20.020,-29.297,24.902
1533057448.878,14.648,42.969,-32.227,-26.367,39.551
1533057448.882,15.137,51.270,-18.555,-31.250,65.918
1533057448.886,-0.488,54.688,-3.418,-39.551,51.270
1533057448.890,-11.719,53.711,-41.992,-48.340,14.648
1533057448.894,-18.555,56.152,-38.086,-62.500,0.977
1533057448.898,-13.672,51.758,-13.672,-61.523,98.633
1533057448.902,-7.324,48.828,-6.836,-49.316,132.324
1533057448.906,-10.254,50.293,8.789,-33.203,51.758
1533057448.909,-16.602,49.316,2.441,-33.203,6.836
1533057448.913,-17.090,53.223,-9.277,-37.598,30.273
1533057448.917,0.977,53.711,-6.348,-27.344,66.895
1533057448.921,17.090,54.688,15.625,-16.602,33.691
1533057448.925,9.277,60.059,30.762,-13.672,81.543
1533057448.929,-2.930,55.664,10.742,-18.066,109.375
1533057448.933,-5.859,48.828,-12.207,-25.879,47.852
1533057448.937,12.695,47.852,-12.207,-22.461,19.043
1533057448.941,28.809,49.316,13.184,-9.766,-7.812
1533057448.945,19.531,51.758,45.898,-4.883,33.203
1533057448.949,8.789,54.199,30.762,-2.930,65.918
1533057448.952,3.906,48.828,0.488,-6.348,22.461
1533057448.956,16.602,45.410,-11.719,-12.207,37.109
1533057448.960,32.227,46.387,-3.418,-5.859,-6.348
1533057448.964,26.367,48.340,24.414,0.488,-46.875
1533057448.968,19.043,55.664,40.527,3.418,8.301
1533057448.972,12.695,53.711,38.086,-1.953,-11.719
1533057448.976,14.648,48.828,32.715,-6.348,-10.254
1533057448.980,32.227,49.805,52.246,6.348,-6.836
1533057448.984,30.762,47.852,68.848,13.184,28.320
1533057448.988,20.996,48.828,61.523,8.789,67.871
1533057448.992,16.113,48.340,43.945,0.000,8.301
1533057448.995,22.949,44.922,29.785,-3.418,4.883
1533057448.999,41.992,46.387,24.902,7.812,27.344
1533057449.003,41.016,54.199,52.734,18.555,49.316
1533057449.007,30.762,57.129,63.965,20.996,31.250
1533057449.011,23.438,49.316,41.016,8.789,22.949
1533057449.015,22.461,43.457,21.484,-1.465,58.594
1533057449.019,38.086,45.898,31.250,7.812,32.715
1533057449.023,46.387,51.758,63.965,18.066,46.875
1533057449.027,36.133,50.293,52.734,19.531,45.410
1533057449.031,17.578,40.527,31.738,7.812,-7.324
1533057449.034,15.137,36.621,36.133,-0.488,48.828
1533057449.038,38.574,36.133,36.133,8.789,64.941
1533057449.042,47.852,37.109,55.176,17.090,2.441
1533057449.046,34.180,41.016,82.031,19.531,-20.020
1533057449.050,24.414,39.062,66.406,16.602,-1.953
1533057449.054,24.902,41.504,40.039,11.230,23.926
1533057449.058,36.621,45.898,45.410,10.742,24.902
1533057449.062,46.875,49.805,80.078,20.996,13.672
1533057449.066,45.410,51.270,82.031,25.391,27.344
1533057449.070,37.598,48.340,57.617,19.043,30.273
1533057449.074,33.203,50.781,49.805,12.695,58.105
1533057449.077,41.504,53.711,44.922,9.277,123.535
1533057449.081,52.734,55.176,55.664,13.672,61.523
1533057449.085,44.922,60.059,65.918,18.066,21.484
1533057449.089,29.785,52.734,33.203,15.137,45.898
1533057449.093,29.785,49.316,6.836,10.742,14.648
1533057449.097,42.480,51.270,-7.324,9.766,3.418
1533057449.101,58.105,46.875,7.812,19.531,-8.301
1533057449.105,49.805,47.852,46.875,22.949,-3.906
1533057449.109,32.227,44.434,33.203,17.578,-10.254
1533057449.113,24.902,39.551,16.113,14.648,-30.762
1533057449.117,31.738,35.645,25.391,21.484,33.691
1533057449.120,49.805,31.250,41.504,26.367,61.035
1533057449.124,47.363,27.832,49.805,29.297,17.090
1533057449.128,30.762,29.785,40.527,28.320,-11.230
1533057449.132,19.043,34.180,29.297,16.602,-30.762
1533057449.136,25.879,35.156,36.133,10.254,-16.113
1533057449.140,39.551,32.715,32.715,20.020,13.672
1533057449.144,34.668,33.203,57.617,31.250,35.645
