timestamps,TP9,AF7,AF8,TP10,Right AUX
1533044853.336,18.066,11.719,-4.395,-4.883,-48.340
1533044853.339,33.691,20.996,2.441,1.953,19.531
1533044853.343,24.902,21.973,6.836,5.859,40.039
1533044853.347,13.672,15.625,5.859,3.906,18.066
1533044853.351,6.836,12.695,2.441,-1.465,10.742
1533044853.355,21.973,10.254,-7.324,-0.977,-13.672
1533044853.359,42.969,4.883,-3.906,17.090,-9.766
1533044853.363,26.367,9.766,5.859,11.230,15.137
1533044853.367,6.348,12.207,5.859,-7.324,19.531
1533044853.371,3.906,12.695,-4.883,-8.301,-5.859
1533044853.375,11.230,12.207,-13.184,-13.184,-15.137
1533044853.379,25.879,10.254,-8.789,-10.742,5.371
1533044853.382,25.879,12.207,0.488,-0.977,32.715
1533044853.386,20.508,11.230,2.441,3.906,-1.953
1533044853.390,6.836,12.207,2.930,1.953,-38.574
1533044853.394,5.371,11.230,0.488,-2.441,-29.297
1533044853.398,29.297,9.277,1.465,2.441,-17.578
1533044853.402,26.367,9.277,4.395,3.906,-7.812
1533044853.406,8.789,11.230,3.418,2.441,18.066
1533044853.410,0.977,14.648,-0.977,-4.395,32.715
1533044853.414,5.371,14.160,-9.766,-16.602,5.371
1533044853.418,24.414,8.301,-12.695,-14.160,-21.484
1533044853.421,24.902,7.324,-7.324,-10.254,-12.207
1533044853.425,13.184,5.859,1.465,-4.395,39.551
1533044853.429,6.348,5.859,0.000,-1.465,29.297
1533044853.433,7.324,4.395,3.418,-9.766,-30.273
1533044853.437,24.902,0.000,9.277,-7.324,-13.184
1533044853.441,26.367,-3.906,14.160,-1.465,53.223
1533044853.445,16.602,-0.977,8.789,1.953,56.152
1533044853.449,14.648,0.488,-3.418,1.465,25.391
1533044853.453,12.695,-3.906,-5.371,-9.277,-7.812
1533044853.457,28.320,-4.395,-12.207,-10.742,-1.465
1533044853.461,35.156,-0.977,-8.789,-6.348,26.367
1533044853.464,19.531,1.465,7.324,-8.301,42.480
1533044853.468,13.672,0.488,3.418,-8.301,46.387
1533044853.472,6.836,5.859,-3.418,-8.301,-5.859
1533044853.476,20.020,4.883,-5.859,-10.742,-28.809
1533044853.480,34.668,3.418,-3.418,-8.789,13.672
1533044853.484,24.414,11.719,2.930,0.000,38.574
1533044853.488,13.184,13.184,4.395,1.465,42.969
1533044853.492,0.977,12.207,-2.930,-9.277,2.441
1533044853.496,14.160,8.789,-11.719,-5.859,-14.648
1533044853.500,25.391,6.836,-1.465,5.371,34.180
1533044853.504,11.719,10.254,11.230,6.836,46.387
1533044853.507,3.906,12.207,4.395,3.906,51.758
1533044853.511,-6.836,12.695,0.000,-2.441,39.062
1533044853.515,2.441,8.789,-3.418,-8.789,-6.348
1533044853.519,20.996,8.301,-2.441,-5.859,9.277
1533044853.523,9.766,13.672,4.883,1.465,38.086
1533044853.527,2.930,13.184,5.371,4.395,53.223
1533044853.531,0.488,17.578,-5.859,-1.953,30.273
1533044853.535,7.812,20.508,-10.254,-9.766,-26.367
1533044853.539,29.297,19.531,-1.465,0.488,-31.250
1533044853.543,23.438,22.949,2.930,14.648,6.348
1533044853.546,12.207,24.414,6.348,12.207,15.137
1533044853.550,4.883,29.785,8.789,2.441,-8.301
1533044853.554,9.277,32.715,9.766,0.000,20.508
1533044853.558,37.109,26.855,-1.953,0.488,5.371
1533044853.562,31.738,25.391,-2.930,-1.953,-4.395
1533044853.566,12.695,27.832,16.602,3.418,41.992
1533044853.570,11.719,26.855,15.625,4.395,21.973
1533044853.574,14.648,25.879,4.395,-1.953,-11.719
1533044853.578,35.156,23.438,8.301,5.371,9.766
1533044853.582,34.180,21.973,16.113,9.277,29.785
1533044853.586,20.996,22.949,15.137,10.742,36.133
1533044853.589,10.742,22.949,4.883,2.441,20.508
1533044853.593,7.324,20.020,2.930,-7.324,17.578
1533044853.597,27.832,14.160,0.488,-1.953,15.137
1533044853.601,26.367,18.066,3.418,-1.953,17.578
1533044853.605,13.672,23.926,15.137,3.418,48.340
1533044853.609,11.719,23.438,15.137,5.859,33.203
1533044853.613,6.836,21.973,10.742,-4.395,-9.766
1533044853.617,29.297,19.043,4.883,2.441,16.602
1533044853.621,41.992,16.113,10.742,16.602,59.570
1533044853.625,19.043,16.602,17.578,13.672,23.438
1533044853.628,9.766,20.508,14.648,7.812,-15.625
1533044853.632,6.348,24.414,10.742,6.836,-25.879
1533044853.636,18.066,22.461,7.324,5.371,-39.062
1533044853.640,27.344,18.555,8.301,5.859,2.930
1533044853.644,17.578,19.043,14.160,2.930,53.223
1533044853.648,16.113,17.578,10.742,0.977,21.484
1533044853.652,12.695,18.555,7.324,-1.465,-41.016
1533044853.656,20.020,16.113,3.418,-2.930,-71.289
1533044853.660,27.344,10.254,6.348,-1.953,8.301
1533044853.664,13.672,10.742,16.602,0.488,50.293
1533044853.668,8.301,10.742,13.672,-0.977,-3.418
1533044853.671,-0.977,8.789,10.742,-10.254,-24.414
1533044853.675,11.719,7.324,8.301,-8.789,-21.484
1533044853.679,28.320,6.348,6.348,-1.953,3.906
1533044853.683,21.484,1.953,8.301,-1.465,37.598
1533044853.687,11.719,-0.977,11.719,-8.789,30.762
1533044853.691,3.418,2.441,10.254,-11.719,-8.789
1533044853.695,19.531,0.000,0.488,-9.766,-20.508
1533044853.699,42.480,-6.348,-1.465,0.977,-25.879
1533044853.703,27.832,-7.812,13.184,8.301,6.348
1533044853.707,19.531,-10.254,10.742,3.418,37.598
1533044853.711,19.043,-12.207,5.859,-0.977,-1.465
1533044853.714,20.996,-14.160,5.371,-5.859,-38.574
1533044853.718,36.133,-15.625,5.371,-0.977,-6.836
1533044853.722,26.855,-13.672,11.230,4.395,42.480
1533044853.726,15.625,-13.672,10.742,1.953,50.781
1533044853.730,9.277,-16.113,-0.977,-3.418,25.391
1533044853.734,8.301,-18.066,-9.277,-11.230,0.000
1533044853.738,28.320,-11.230,-8.789,-8.789,-1.465
1533044853.742,34.668,-7.812,-0.977,7.324,48.828
1533044853.746,20.020,-17.090,11.719,8.789,47.852
1533044853.750,-5.859,-21.973,20.508,-12.207,0.000
1533044853.753,-9.766,-17.090,15.137,-22.461,-9.766
1533044853.757,20.508,-15.137,13.672,-11.230,-14.648
1533044853.761,23.926,-13.184,19.531,0.000,24.902
1533044853.765,10.254,-8.301,17.090,-2.930,57.617
1533044853.769,4.395,-8.789,18.066,-8.789,20.020
1533044853.773,7.812,-7.324,15.137,-12.207,-39.551
1533044853.777,31.738,-3.418,3.418,-11.230,-18.066
1533044853.781,36.621,-5.371,2.441,-6.348,16.113
1533044853.785,15.137,-5.371,13.184,-2.441,9.766
1533044853.789,2.930,-7.324,18.066,0.977,16.113
1533044853.793,-1.953,-8.301,13.184,-4.883,32.715
1533044853.796,15.625,-6.836,6.836,-7.812,18.066
1533044853.800,28.809,-4.395,12.207,0.488,29.785
1533044853.804,19.531,-1.953,11.230,4.395,47.852
1533044853.808,9.277,-0.977,4.883,1.953,29.297
1533044853.812,2.441,2.930,1.465,-1.465,-13.184
1533044853.816,20.996,3.418,0.977,-0.977,-38.086
1533044853.820,31.250,2.930,8.301,3.906,8.301
1533044853.824,24.414,8.301,8.789,10.742,40.039
1533044853.828,20.996,11.719,4.883,10.742,12.695
1533044853.832,11.230,12.695,9.766,6.348,1.953
1533044853.836,24.902,11.719,9.766,6.348,10.254
1533044853.839,40.039,3.906,6.836,4.883,5.859
1533044853.843,30.762,3.418,18.066,13.672,0.488
1533044853.847,23.926,10.742,20.508,18.066,-0.977
1533044853.851,10.254,12.207,15.137,6.348,5.371
1533044853.855,16.113,4.395,8.301,0.488,-24.414
1533044853.859,40.527,1.465,8.301,6.836,2.441
1533044853.863,33.691,3.906,17.578,11.230,38.086
1533044853.867,20.996,8.301,18.066,10.254,35.156
1533044853.871,18.555,11.230,10.254,9.277,1.953
1533044853.875,23.926,11.230,4.395,4.395,-7.324
1533044853.878,38.574,11.719,5.859,2.930,20.508
1533044853.882,30.762,11.719,13.672,8.301,28.320
1533044853.886,20.996,13.184,16.113,10.254,40.527
1533044853.890,12.695,15.137,9.766,-0.977,-1.953
1533044853.894,10.742,11.230,0.488,-9.766,-58.594
1533044853.898,30.762,9.277,-0.977,-4.883,-42.480
1533044853.902,30.273,15.625,12.207,3.906,19.043
1533044853.906,14.648,18.555,18.555,5.371,54.199
1533044853.910,7.812,18.066,14.160,-3.418,43.457
1533044853.914,11.230,17.578,6.348,-5.371,-15.137
1533044853.918,30.273,17.578,2.930,3.906,-10.254
1533044853.921,31.250,19.531,11.230,5.371,43.457
1533044853.925,16.113,18.555,18.555,5.371,53.711
1533044853.929,6.348,18.555,16.113,0.000,34.180
1533044853.933,4.395,19.531,7.812,-13.184,-12.207
1533044853.937,21.484,16.602,2.441,-10.254,-24.902
1533044853.941,29.785,17.090,12.695,-2.441,35.156
1533044853.945,18.066,20.996,18.555,-2.441,81.543
1533044853.949,8.789,21.484,10.742,-5.859,49.316
1533044853.953,1.953,21.484,13.672,-6.836,25.879
1533044853.957,20.020,17.090,12.695,-2.930,23.438
1533044853.960,33.203,15.137,15.137,3.906,23.926
1533044853.964,22.949,18.555,13.672,11.230,35.156
1533044853.968,9.277,22.461,14.160,3.418,45.410
1533044853.972,3.906,20.020,22.949,-1.953,5.859
1533044853.976,30.273,11.719,16.602,8.789,-35.645
1533044853.980,40.039,19.531,15.625,5.371,-10.254
1533044853.984,19.531,29.297,23.438,-0.977,18.066
1533044853.988,11.230,29.785,15.625,-3.906,-12.695
1533044853.992,-3.418,36.133,9.277,-23.438,-6.348
1533044853.996,9.766,39.062,-0.977,-27.832,-9.277
1533044854.000,34.180,33.691,-3.906,-16.602,-15.625
1533044854.003,16.113,34.180,8.301,-10.742,28.320
1533044854.007,2.441,33.691,7.324,-11.719,57.129
1533044854.011,-1.465,33.203,4.395,-16.602,28.320
1533044854.015,4.883,31.738,3.418,-18.066,-4.883
1533044854.019,20.996,25.391,5.859,-16.113,40.527
1533044854.023,19.531,26.855,12.207,-10.254,41.016
1533044854.027,16.113,33.691,16.113,-4.395,44.922
1533044854.031,11.719,39.551,10.254,-6.348,17.578
1533044854.035,18.555,36.621,3.906,-11.719,-25.879
1533044854.039,32.715,31.250,6.836,-8.301,15.137
1533044854.043,27.344,31.738,9.277,-2.441,71.777
1533044854.046,23.926,32.715,5.371,0.977,46.387
1533044854.050,13.184,38.574,-0.488,-8.301,-15.625
1533044854.054,11.230,38.574,-3.906,-12.207,-31.250
1533044854.058,35.645,34.668,-0.977,-1.465,4.395
1533044854.062,38.086,31.738,4.395,4.883,44.922
1533044854.066,32.227,33.691,11.230,12.207,34.668
1533044854.070,18.555,33.691,17.090,7.812,47.363
1533044854.074,10.742,30.273,7.812,-5.859,0.000
1533044854.078,31.250,25.879,4.883,-9.277,-18.066
1533044854.082,27.832,24.902,11.719,-7.324,32.227
1533044854.085,12.695,26.855,14.648,0.488,28.809
1533044854.089,9.277,26.855,15.137,-2.930,35.156
1533044854.093,9.277,26.855,6.348,-11.719,4.395
1533044854.097,24.902,24.414,3.418,-3.418,-17.578
1533044854.101,33.691,25.391,13.672,13.672,22.461
