timestamps,TP9,AF7,AF8,TP10,Right AUX
1533223253.545,11.719,25.879,-240.234,24.902,70.801
1533223253.549,9.766,24.414,-465.820,18.555,64.941
1533223253.553,13.672,29.785,-401.367,10.254,33.691
1533223253.557,15.625,30.762,-125.488,9.277,70.312
1533223253.561,8.301,29.297,-204.590,7.812,97.656
1533223253.565,13.184,30.762,-345.703,13.672,87.402
1533223253.569,19.043,30.273,-620.117,16.602,9.277
1533223253.573,13.184,30.762,-620.117,12.695,3.906
1533223253.577,12.695,29.785,-213.867,9.277,62.988
1533223253.580,11.719,26.367,-167.969,4.883,9.766
1533223253.584,15.137,24.902,-280.273,6.836,-0.488
1533223253.588,12.695,26.367,-327.148,7.324,64.453
1533223253.592,9.277,30.273,-369.141,5.371,43.945
1533223253.596,11.719,32.227,-363.770,6.836,7.812
1533223253.600,14.648,33.203,-312.988,3.418,55.664
1533223253.604,22.461,31.738,-319.336,9.277,65.918
1533223253.608,25.879,30.273,-398.438,8.301,66.406
1533223253.612,23.438,32.227,-452.637,2.441,79.102
1533223253.616,19.531,28.809,-433.594,5.371,32.715
1533223253.620,35.156,26.855,-319.824,10.742,0.000
1533223253.623,36.133,29.785,-253.906,12.695,20.996
1533223253.627,13.672,31.250,-437.500,6.348,16.602
1533223253.631,10.254,31.250,-476.562,3.418,0.000
1533223253.635,11.230,28.320,-284.180,1.953,19.043
1533223253.639,7.324,29.297,-322.754,3.906,-20.020
1533223253.643,15.137,30.762,-294.922,10.254,-12.207
1533223253.647,29.297,32.227,-354.980,13.672,79.102
1533223253.651,20.996,31.738,-437.500,12.207,57.129
1533223253.655,17.578,31.738,-363.770,8.789,-27.344
1533223253.659,20.996,33.203,-372.559,13.184,7.324
1533223253.662,36.133,32.227,-337.402,18.066,43.945
1533223253.666,42.480,35.645,-383.789,10.254,36.133
1533223253.670,14.648,37.598,-339.844,7.324,52.246
1533223253.674,18.066,34.668,-201.172,5.859,54.688
1533223253.678,27.344,32.227,-216.797,5.371,69.824
1533223253.682,19.531,31.738,-239.746,13.184,59.570
1533223253.686,24.902,32.227,-400.391,11.230,11.719
1533223253.690,25.391,31.250,-418.945,2.441,10.254
1533223253.694,20.508,28.320,-243.652,-0.977,26.367
1533223253.698,25.391,29.297,-227.051,8.789,31.738
1533223253.702,32.715,32.227,-212.891,16.113,46.875
1533223253.705,42.969,34.668,-330.078,18.066,40.527
1533223253.709,38.086,36.621,-433.594,19.531,26.367
1533223253.713,20.996,31.250,-339.355,17.578,20.020
1533223253.717,19.043,30.762,-324.707,16.113,-31.250
1533223253.721,20.020,34.180,-263.184,13.184,-11.719
1533223253.725,27.832,33.691,-210.938,13.672,26.367
1533223253.729,29.297,35.156,-415.039,18.066,30.762
1533223253.733,22.949,35.645,-374.512,13.184,7.324
1533223253.737,28.320,36.133,-112.793,14.648,-28.320
1533223253.741,31.738,35.156,-187.012,17.578,-6.348
1533223253.744,41.504,34.180,-262.695,20.508,6.836
1533223253.748,40.527,31.250,-264.648,20.508,32.715
1533223253.752,31.738,29.785,-350.098,15.137,17.090
1533223253.756,29.785,30.762,-317.383,12.695,7.812
1533223253.760,27.832,29.785,-334.473,16.113,-43.457
1533223253.764,31.250,31.250,-266.602,18.066,-19.043
1533223253.768,28.809,29.297,-336.914,17.578,41.016
1533223253.772,24.902,27.832,-545.898,15.625,4.883
1533223253.776,36.621,29.297,-261.230,14.160,-5.859
1533223253.780,43.945,28.320,-53.711,19.531,-18.066
1533223253.784,42.480,28.809,-96.191,27.832,42.480
1533223253.787,43.945,29.297,-244.629,21.973,69.336
1533223253.791,44.434,26.855,-337.402,17.090,19.531
1533223253.795,35.645,28.320,-291.504,15.137,7.324
1533223253.799,30.273,28.809,-397.949,15.625,-34.668
1533223253.803,31.738,26.855,-421.387,19.043,-62.988
1533223253.807,40.527,27.344,-387.207,23.926,-37.598
1533223253.811,42.480,28.809,-292.969,27.344,2.930
1533223253.815,36.133,28.320,-193.848,24.414,51.270
1533223253.819,33.691,26.855,-301.758,19.531,0.977
1533223253.823,28.809,31.250,-294.434,23.438,-11.230
1533223253.826,24.414,31.738,-339.844,21.973,105.957
1533223253.830,21.484,29.785,-462.402,16.602,89.355
1533223253.834,31.250,30.273,-436.035,15.625,-22.461
1533223253.838,31.250,26.367,-393.555,13.672,-20.508
1533223253.842,20.508,28.809,-357.422,12.207,9.277
1533223253.846,32.227,30.762,-518.066,11.230,7.324
1533223253.850,35.645,30.273,-591.797,7.324,-2.441
1533223253.854,39.062,35.645,-472.168,8.301,-0.977
1533223253.858,44.434,38.574,-441.406,11.719,-3.418
1533223253.862,40.527,37.598,-394.043,18.066,11.230
1533223253.865,38.086,35.645,-382.324,24.414,38.086
1533223253.869,42.969,35.156,-615.234,21.973,34.668
1533223253.873,46.387,34.668,-545.898,17.090,37.598
1533223253.877,46.387,34.668,-257.324,19.531,-3.906
1533223253.881,44.434,32.715,-266.113,20.508,-16.113
1533223253.885,43.945,28.320,-340.820,25.391,23.926
1533223253.889,45.410,27.344,-443.359,29.297,24.414
1533223253.893,54.688,28.320,-482.422,28.809,44.922
1533223253.897,48.340,28.320,-424.805,26.367,44.922
1533223253.901,50.781,27.832,-318.848,29.297,20.508
1533223253.905,51.270,27.832,-299.805,35.645,65.430
1533223253.908,42.480,27.344,-445.312,36.621,58.594
1533223253.912,57.129,26.855,-472.168,40.527,10.254
1533223253.916,69.824,23.926,-304.688,44.434,40.039
1533223253.920,62.012,20.508,-267.090,43.945,55.664
1533223253.924,62.500,20.508,-305.176,43.457,46.387
1533223253.928,59.082,20.020,-402.832,42.480,65.430
1533223253.932,49.316,22.949,-399.902,38.574,37.598
1533223253.936,55.664,26.367,-329.590,34.180,-4.395
1533223253.940,53.711,28.809,-375.488,28.809,4.883
1533223253.944,40.527,34.180,-345.703,29.785,43.945
1533223253.947,33.203,33.203,-380.371,25.391,43.945
1533223253.951,34.668,33.691,-286.133,22.461,58.594
1533223253.955,35.156,35.156,-172.852,21.973,59.570
1533223253.959,33.203,34.180,-202.148,16.602,48.828
1533223253.963,32.715,34.180,-193.359,21.484,76.172
1533223253.967,34.668,34.180,-360.352,18.555,51.270
1533223253.971,32.715,33.203,-379.883,11.230,20.996
1533223253.975,31.250,34.180,-171.875,10.742,22.461
1533223253.979,29.297,36.133,-135.254,20.508,29.785
1533223253.983,33.203,36.621,-138.672,28.809,26.367
1533223253.987,42.969,34.180,-264.160,20.996,49.805
1533223253.990,37.109,31.738,-330.078,18.555,34.668
1533223253.994,36.621,34.668,-188.477,20.996,22.949
1533223253.998,47.852,34.180,-145.020,22.461,24.902
1533223254.002,48.828,33.203,-75.684,22.949,28.320
1533223254.006,39.062,33.203,-110.840,23.926,40.527
1533223254.010,39.062,28.809,-282.715,24.414,32.715
1533223254.014,45.410,23.438,-76.172,23.438,26.367
1533223254.018,47.852,27.832,75.684,25.391,0.977
1533223254.022,44.434,31.738,55.176,23.438,43.457
1533223254.026,47.852,29.785,-104.004,21.484,37.109
1533223254.029,57.129,33.691,-180.664,19.531,-5.859
1533223254.033,54.688,32.715,-74.219,13.672,25.391
1533223254.037,48.340,28.809,-67.871,14.160,15.137
1533223254.041,51.270,29.297,-6.836,15.137,2.441
1533223254.045,45.898,26.855,-25.879,14.160,-5.859
1533223254.049,39.062,27.344,-35.645,17.578,28.320
1533223254.053,40.527,28.320,-6.836,10.254,4.883
1533223254.057,44.922,30.273,10.254,14.160,-36.621
1533223254.061,48.340,33.203,65.918,20.020,-6.836
1533223254.065,43.457,35.156,103.516,16.113,57.617
1533223254.069,46.875,35.156,78.613,19.531,58.594
1533223254.072,47.852,32.715,125.488,16.602,-9.277
1533223254.076,43.945,32.227,173.828,17.578,-3.418
1533223254.080,39.062,29.297,91.797,20.508,-9.277
1533223254.084,34.668,27.344,67.383,20.996,-5.371
1533223254.088,39.551,27.832,76.660,20.996,24.414
1533223254.092,42.480,29.297,101.074,19.531,-5.859
1533223254.096,35.156,31.738,150.879,20.020,-38.086
1533223254.100,40.527,37.109,209.473,20.508,-16.113
1533223254.104,39.551,37.598,280.762,26.367,45.410
1533223254.108,39.551,37.109,193.848,29.785,43.945
1533223254.111,44.434,35.156,162.598,32.715,18.066
1533223254.115,39.551,34.180,260.742,30.273,38.574
1533223254.119,35.156,35.645,249.512,21.973,3.418
1533223254.123,41.992,37.109,271.484,31.250,11.719
1533223254.127,42.969,39.062,198.242,28.809,14.160
1533223254.131,41.992,39.062,158.203,22.461,-25.391
1533223254.135,40.527,37.598,269.043,22.949,-19.531
1533223254.139,41.504,38.086,303.711,18.066,0.000
1533223254.143,48.828,40.527,306.641,20.508,5.859
1533223254.147,46.875,39.062,237.305,21.484,31.250
1533223254.151,31.250,37.109,167.969,16.113,1.953
1533223254.154,26.855,31.250,260.742,16.113,6.836
1533223254.158,23.438,31.250,316.406,25.391,67.871
1533223254.162,17.578,33.203,311.035,26.855,56.641
1533223254.166,13.184,29.297,219.238,21.484,53.711
1533223254.170,18.555,30.273,147.949,20.508,47.363
1533223254.174,19.531,33.203,228.027,18.555,48.340
1533223254.178,16.602,31.738,214.844,21.973,29.297
1533223254.182,24.414,33.691,243.164,26.367,25.879
1533223254.186,20.508,37.109,246.094,25.879,72.754
1533223254.190,13.672,34.180,45.410,27.344,71.777
1533223254.193,16.113,29.785,98.633,26.855,44.434
1533223254.197,19.531,30.762,253.418,23.926,20.996
1533223254.201,17.090,33.203,211.914,21.484,-22.461
1533223254.205,13.184,30.273,186.523,13.672,13.672
1533223254.209,15.625,31.250,161.133,9.766,82.031
1533223254.213,7.812,32.715,145.020,11.719,64.453
1533223254.217,4.395,29.297,157.227,12.695,48.340
1533223254.221,3.418,28.809,121.094,13.672,35.156
1533223254.225,11.719,28.320,74.219,7.812,20.508
1533223254.229,18.555,29.785,-51.758,1.953,37.598
1533223254.233,7.324,33.203,-218.750,-1.465,-6.348
1533223254.236,6.348,31.738,18.555,0.488,-31.250
1533223254.240,15.137,25.391,226.074,5.859,10.742
1533223254.244,20.996,23.926,222.656,11.230,33.203
1533223254.248,20.996,24.902,60.059,15.625,33.203
1533223254.252,19.531,28.809,-9.766,12.695,54.199
1533223254.256,16.113,30.762,85.938,8.789,48.340
1533223254.260,18.555,26.855,33.203,9.766,3.906
1533223254.264,25.879,25.879,34.668,15.137,53.223
1533223254.268,21.484,26.367,-133.301,10.742,78.613
1533223254.272,13.184,27.344,-234.375,8.301,30.273
1533223254.275,20.508,33.203,-152.832,10.742,7.324
1533223254.279,23.926,31.250,-47.852,14.160,71.777
1533223254.283,24.902,30.762,-7.812,19.043,100.586
1533223254.287,30.273,34.668,-171.875,14.648,39.551
1533223254.291,35.156,33.203,-217.285,12.207,14.160
1533223254.295,23.926,34.180,-113.770,10.254,23.438
1533223254.299,27.344,34.668,-104.492,8.301,31.250
1533223254.303,37.109,35.156,-92.773,13.184,53.711
1533223254.307,26.367,37.109,-211.426,14.160,54.199
1533223254.311,24.414,37.109,-285.645,10.254,19.531
1533223254.315,27.344,36.621,-190.430,8.301,-2.930
1533223254.318,28.809,37.598,-165.039,14.160,25.879
1533223254.322,28.809,39.062,-155.273,13.672,52.734
1533223254.326,38.574,36.621,-301.270,16.602,-0.488
1533223254.330,26.855,37.598,-391.602,15.137,-36.133
1533223254.334,18.555,39.551,-278.320,11.230,-18.555
1533223254.338,18.555,39.062,-287.109,18.555,-41.504
1533223254.342,15.625,36.621,-229.004,20.020,-0.977
1533223254.346,24.414,34.180,-284.668,17.090,26.367
1533223254.350,16.602,34.180,-415.527,14.160,-21.484
1533223254.354,18.066,38.574,-313.477,14.160,-10.742
1533223254.357,23.926,39.062,-248.047,19.043,20.508
1533223254.361,19.043,35.645,-290.039,15.625,-6.348
1533223254.365,16.602,34.668,-300.293,17.578,11.719
1533223254.369,22.461,34.180,-442.383,20.508,40.039
1533223254.373,28.320,36.133,-406.250,15.625,-2.441
1533223254.377,30.762,35.156,-187.988,14.160,-7.812
1533223254.381,37.598,31.250,-183.105,21.973,21.973
1533223254.385,32.715,30.762,-183.594,28.809,38.574
1533223254.389,21.484,32.227,-381.836,15.625,27.832
1533223254.393,22.949,33.203,-480.957,7.324,-0.488
1533223254.397,20.508,29.297,-125.488,15.625,-0.488
