timestamps,TP9,AF7,AF8,TP10,Right AUX
1533058060.635,53.223,23.926,14.160,0.977,4.883
1533058060.638,45.410,20.996,14.160,5.371,35.156
1533058060.642,34.180,19.043,5.371,4.395,64.941
1533058060.646,28.320,18.066,-7.812,1.953,29.785
1533058060.650,35.645,19.531,2.930,1.953,-7.812
1533058060.654,48.340,20.020,12.695,9.277,24.902
1533058060.658,41.992,18.555,12.207,12.695,70.312
1533058060.662,35.156,19.531,16.113,8.789,73.242
1533058060.666,34.668,21.973,20.996,6.348,12.207
1533058060.670,42.480,21.484,15.137,5.859,14.160
1533058060.674,55.176,23.438,17.090,11.719,97.168
1533058060.678,53.223,25.879,8.301,16.602,103.027
1533058060.681,45.410,25.879,-4.883,10.254,-32.715
1533058060.685,33.203,26.367,-3.418,1.465,-32.715
1533058060.689,33.691,29.297,3.906,-1.953,53.711
1533058060.693,50.293,29.297,20.996,-1.953,60.547
1533058060.697,50.781,23.438,30.273,4.395,69.336
1533058060.701,40.527,23.926,13.184,6.836,34.180
1533058060.705,30.273,24.902,-5.859,-11.719,6.836
1533058060.709,28.809,25.879,-2.930,-21.484,4.883
1533058060.713,44.434,29.785,15.137,-12.207,-1.465
1533058060.717,47.852,27.832,8.789,-6.836,15.625
1533058060.720,36.133,25.879,-9.277,-5.371,-62.988
1533058060.724,26.855,28.809,7.324,-9.766,-79.590
1533058060.728,28.809,31.250,9.277,-13.184,8.301
1533058060.732,42.969,32.227,7.324,-7.812,41.992
1533058060.736,44.922,30.273,2.930,-0.977,7.812
1533058060.740,37.598,32.227,-6.836,4.883,10.742
1533058060.744,32.715,31.738,-2.930,7.812,60.059
1533058060.748,32.227,26.855,-3.906,3.418,31.738
1533058060.752,48.340,24.902,2.930,7.324,43.945
1533058060.756,61.035,24.414,6.836,18.555,58.105
1533058060.760,47.363,27.832,5.371,17.090,-2.930
1533058060.763,39.062,32.227,11.230,12.695,4.395
1533058060.767,37.598,31.738,3.906,7.812,42.969
1533058060.771,42.480,27.832,0.488,2.441,13.184
1533058060.775,52.734,25.879,6.836,12.207,17.578
1533058060.779,43.945,25.879,-10.254,14.160,52.734
1533058060.783,37.598,23.926,-11.230,8.301,38.574
1533058060.787,35.156,25.391,3.906,7.324,13.184
1533058060.791,37.109,26.367,7.812,0.000,29.785
1533058060.795,49.316,26.367,8.789,5.371,58.105
1533058060.799,46.387,29.297,-2.930,7.812,7.812
1533058060.802,35.156,29.785,0.000,3.906,9.277
1533058060.806,28.809,27.344,7.324,2.441,77.148
1533058060.810,37.109,25.879,-7.812,-6.348,48.340
1533058060.814,59.082,26.367,-6.836,1.465,-50.293
1533058060.818,54.199,30.762,0.000,9.277,-11.230
1533058060.822,38.086,31.250,-2.930,4.395,87.891
1533058060.826,34.668,29.297,-8.789,0.977,88.379
