timestamps,TP9,AF7,AF8,TP10,Right AUX
1533054424.965,-14.648,28.809,33.203,0.000,58.594
1533054424.969,-9.277,27.344,29.297,-0.488,36.133
1533054424.973,-11.719,28.320,28.320,0.000,18.066
1533054424.977,-15.625,28.809,32.227,6.836,26.855
1533054424.981,-10.254,28.809,27.832,4.883,38.086
1533054424.985,-4.883,26.367,28.320,0.488,58.594
1533054424.989,-4.395,24.414,33.203,4.395,0.977
1533054424.993,-12.207,24.902,29.297,1.953,-27.344
1533054424.997,-16.113,25.391,28.809,-3.418,21.973
1533054425.001,-11.719,24.902,33.203,-0.488,17.578
1533054425.005,-6.348,23.926,30.273,0.488,14.648
1533054425.008,-3.418,21.484,30.273,3.418,15.625
1533054425.012,1.465,20.996,31.738,8.789,81.055
1533054425.016,5.859,21.484,28.809,10.742,113.281
1533054425.020,8.301,21.484,27.344,13.184,56.152
1533054425.024,12.207,21.973,29.785,14.648,41.992
1533054425.028,18.555,23.926,33.203,19.531,52.734
1533054425.032,22.949,25.879,34.180,24.902,41.504
1533054425.036,21.484,26.367,33.203,21.484,4.395
1533054425.040,17.578,25.391,33.691,20.020,27.344
1533054425.044,13.672,25.391,34.668,18.066,64.941
1533054425.047,11.230,25.391,34.668,13.184,67.871
1533054425.051,9.766,26.855,30.762,15.137,40.527
1533054425.055,8.789,23.926,27.344,14.648,16.113
1533054425.059,11.230,22.949,32.715,9.766,35.156
1533054425.063,11.719,25.391,36.133,12.695,-6.836
1533054425.067,6.348,25.391,30.273,10.742,-8.301
1533054425.071,5.371,24.414,27.832,8.789,32.715
1533054425.075,4.395,20.996,29.785,8.789,30.762
1533054425.079,2.441,20.996,29.785,0.977,67.871
1533054425.083,-1.465,21.484,29.297,-0.977,134.766
1533054425.087,-4.883,19.531,28.809,-1.953,127.441
1533054425.090,-1.465,19.531,28.809,2.441,47.852
1533054425.094,1.465,20.996,31.738,9.766,49.805
1533054425.098,0.488,21.484,34.668,14.160,87.891
1533054425.102,1.465,21.973,33.691,17.578,68.359
1533054425.106,-1.953,20.508,31.250,16.602,67.871
1533054425.110,-4.395,19.043,29.785,17.090,51.270
1533054425.114,-4.395,21.973,31.250,15.625,24.414
1533054425.118,0.977,23.926,37.109,16.113,2.930
1533054425.122,5.371,22.949,41.016,20.020,67.871
1533054425.126,11.719,23.926,38.574,24.414,59.570
1533054425.130,23.926,23.926,34.180,25.879,-7.324
1533054425.133,23.926,26.367,36.133,25.879,10.254
1533054425.137,21.484,27.832,38.574,27.344,0.977
1533054425.141,26.367,27.832,35.645,27.344,-29.785
1533054425.145,31.738,29.785,31.250,21.484,-30.273
1533054425.149,33.691,30.273,30.273,18.066,-11.230
1533054425.153,33.203,28.809,27.344,19.531,27.832
1533054425.157,31.250,27.832,23.926,13.672,20.020
1533054425.161,27.832,28.809,26.855,12.207,34.668
1533054425.165,25.879,27.832,28.809,17.090,11.719
1533054425.169,26.855,26.855,29.785,20.020,-47.363
1533054425.172,20.996,27.832,30.273,17.578,33.203
1533054425.176,11.230,27.832,31.250,11.719,105.957
1533054425.180,10.254,26.855,30.273,10.742,48.340
1533054425.184,8.301,27.344,29.785,12.207,-19.043
1533054425.188,-0.977,28.320,28.320,10.254,-20.996
1533054425.192,-6.348,27.344,22.949,3.906,32.715
1533054425.196,-5.371,26.367,24.902,0.977,70.312
1533054425.200,-3.418,26.855,27.832,7.812,58.594
1533054425.204,1.953,30.273,24.902,9.277,-19.531
1533054425.208,0.000,31.738,26.855,7.812,-88.379
1533054425.212,-7.324,25.879,26.855,10.742,-11.719
1533054425.215,-3.418,23.926,24.414,13.672,60.547
1533054425.219,1.953,28.320,22.949,12.207,41.992
1533054425.223,4.395,27.832,22.949,20.020,37.109
1533054425.227,5.371,23.926,23.926,23.926,21.484
1533054425.231,7.812,22.949,21.484,17.578,18.066
1533054425.235,10.254,23.926,19.531,16.113,41.992
1533054425.239,10.254,24.414,20.020,16.602,43.457
1533054425.243,8.789,23.438,19.043,19.043,45.898
1533054425.247,9.766,24.414,20.996,20.508,43.457
1533054425.251,16.113,25.391,20.020,22.461,32.715
1533054425.254,23.438,24.902,18.066,23.926,17.090
1533054425.258,24.902,27.832,22.461,23.438,38.574
1533054425.262,25.391,30.273,21.973,23.438,-6.348
1533054425.266,23.438,28.320,21.484,23.926,-13.184
1533054425.270,20.020,28.320,23.926,24.902,13.672
